ReachID,Name,RiverID,ClimateClass,RKm,WidthMean
655,Okanogan_River_26,41,7,250,
656,Okanogan_River_27,41,7,260,
657,Okanogan_River_28,41,7,270,
658,Okanogan_River_29,41,7,280,
659,Okanogan_River_3,41,7,20,72
660,Okanogan_River_30,41,7,290,
661,Okanogan_River_31,41,7,300,
662,Okanogan_River_32,41,26,310,
663,Okanogan_River_4,41,7,30,72
664,Okanogan_River_5,41,7,40,72
665,Okanogan_River_6,41,7,50,72
666,Okanogan_River_7,41,7,60,72
667,Okanogan_River_8,41,7,70,72
668,Okanogan_River_9,41,7,80,72
669,Pend_Oreille_River_1,42,26,0,498
670,Pend_Oreille_River_10,42,18,90,432
671,Pend_Oreille_River_11,42,18,100,432
672,Pend_Oreille_River_12,42,18,110,432
673,Pend_Oreille_River_13,42,18,120,432
674,Pend_Oreille_River_14,42,18,130,432
675,Pend_Oreille_River_15,42,18,140,432
676,Pend_Oreille_River_16,42,18,150,432
677,Pend_Oreille_River_17,42,18,160,432
678,Pend_Oreille_River_18,42,18,170,432
679,Pend_Oreille_River_19,42,18,180,432
680,Pend_Oreille_River_2,42,26,10,432
681,Pend_Oreille_River_20,42,18,190,5000
682,Pend_Oreille_River_21,42,18,200,5000
683,Pend_Oreille_River_22,42,18,210,5000
684,Pend_Oreille_River_23,42,18,220,5000
685,Pend_Oreille_River_24,42,18,230,5000
686,Pend_Oreille_River_25,42,18,240,498
687,Pend_Oreille_River_26,42,18,250,498
688,Pend_Oreille_River_3,42,18,20,432
689,Pend_Oreille_River_4,42,18,30,432
690,Pend_Oreille_River_5,42,26,40,432
691,Pend_Oreille_River_6,42,26,50,432
692,Pend_Oreille_River_7,42,26,60,432
693,Pend_Oreille_River_8,42,18,70,432
694,Pend_Oreille_River_9,42,18,80,432
695,Sandy_River_1,43,9,0,1094
696,Sandy_River_10,43,29,90,
697,Sandy_River_2,43,9,10,1094
698,Sandy_River_3,43,9,20,1094
699,Sandy_River_4,43,9,30,
700,Sandy_River_5,43,9,40,
701,Sandy_River_6,43,9,50,
702,Sandy_River_7,43,9,60,
703,Sandy_River_8,43,9,70,
704,Sandy_River_9,43,18,80,
705,Sanpoil_River_1,44,7,0,1237
706,Sanpoil_River_10,44,7,90,
707,Sanpoil_River_11,44,7,100,
708,Sanpoil_River_12,44,26,110,
709,Sanpoil_River_2,44,7,10,1237
710,Sanpoil_River_3,44,7,20,
711,Sanpoil_River_4,44,7,30,
712,Sanpoil_River_5,44,7,40,
713,Sanpoil_River_6,44,7,50,
714,Sanpoil_River_7,44,7,60,
715,Sanpoil_River_8,44,7,70,
716,Sanpoil_River_9,44,7,80,
717,Snake_River_1,45,5,0,850
718,Snake_River_10,45,7,90,655
719,Snake_River_100,45,7,990,190
720,Snake_River_101,45,7,1000,190
721,Snake_River_102,45,7,1010,190
722,Snake_River_103,45,7,1020,190
723,Snake_River_104,45,7,1030,190
724,Snake_River_105,45,7,1040,1397
725,Snake_River_106,45,7,1050,1397
726,Snake_River_107,45,7,1060,1397
727,Snake_River_108,45,7,1070,1397
728,Snake_River_109,45,7,1080,1397
729,Snake_River_11,45,7,100,655
730,Snake_River_110,45,7,1090,1397
731,Snake_River_111,45,7,1100,1397
732,Snake_River_112,45,7,1110,1397
733,Snake_River_113,45,7,1120,1397
734,Snake_River_114,45,7,1130,1397
735,Snake_River_115,45,7,1140,1397
736,Snake_River_116,45,7,1150,1397
737,Snake_River_117,45,7,1160,1397
738,Snake_River_118,45,7,1170,1397
739,Snake_River_119,45,7,1180,1397
740,Snake_River_12,45,7,110,655
741,Snake_River_120,45,7,1190,97
742,Snake_River_121,45,7,1200,97
743,Snake_River_122,45,7,1210,97
744,Snake_River_123,45,7,1220,97
745,Snake_River_124,45,7,1230,97
746,Snake_River_125,45,7,1240,97
747,Snake_River_126,45,7,1250,97
748,Snake_River_127,45,7,1260,97
749,Snake_River_128,45,7,1270,97
750,Snake_River_129,45,7,1280,97
751,Snake_River_13,45,7,120,655
752,Snake_River_130,45,7,1290,97
753,Snake_River_131,45,7,1300,97
754,Snake_River_132,45,7,1310,97
755,Snake_River_133,45,7,1320,97
756,Snake_River_134,45,7,1330,97
757,Snake_River_135,45,7,1340,97
758,Snake_River_136,45,7,1350,97
759,Snake_River_137,45,7,1360,498
760,Snake_River_138,45,7,1370,498
761,Snake_River_139,45,7,1380,498
762,Snake_River_14,45,7,130,655
763,Snake_River_140,45,7,1390,498
764,Snake_River_141,45,26,1400,498
765,Snake_River_142,45,26,1410,498
766,Snake_River_143,45,26,1420,498
767,Snake_River_144,45,26,1430,498
768,Snake_River_145,45,26,1440,498
769,Snake_River_146,45,26,1450,498
770,Snake_River_147,45,26,1460,498
771,Snake_River_148,45,26,1470,498
772,Snake_River_149,45,26,1480,498
773,Snake_River_15,45,7,140,655
774,Snake_River_150,45,26,1490,498
775,Snake_River_151,45,27,1500,498
776,Snake_River_152,45,26,1510,498
777,Snake_River_153,45,26,1520,498
778,Snake_River_154,45,26,1530,498
779,Snake_River_155,45,26,1540,498
780,Snake_River_156,45,26,1550,498
781,Snake_River_157,45,26,1560,498
782,Snake_River_158,45,27,1570,498
783,Snake_River_159,45,27,1580,498
784,Snake_River_16,45,7,150,655
785,Snake_River_160,45,27,1590,498
786,Snake_River_161,45,27,1600,498
787,Snake_River_162,45,27,1610,498
788,Snake_River_163,45,27,1620,498
789,Snake_River_164,45,27,1630,498
