date,fb,id,af,qt
1983-12-16,5.58,11163.45,15209.49,
1983-12-17,5.98,11830.50,13881.54,
1983-12-18,6.17,12937.63,12964.45,
1983-12-19,6.13,13741.13,12847.68,
1983-12-20,5.98,13421.24,13881.54,
1983-12-21,4.65,9725.90,10362.66,
1983-12-22,5.99,12233.95,13801.90,
1983-12-23,7.23,12098.73,16377.89,
1983-12-24,7.01,11631.31,15646.61,
1983-12-25,6.58,11720.19,14298.23,
1983-12-26,6.31,12090.60,13486.20,
1983-12-27,6.19,12369.40,13028.81,
1983-12-28,6.18,12583.52,12996.13,
1983-12-29,6.09,12306.39,12810.46,
1983-12-30,6.05,12642.09,13092.28,
1983-12-31,5.98,12997.92,13881.54,
1984-01-01,5.93,12983.09,14244.70,
1984-01-02,5.98,12716.91,13881.54,
1984-01-03,5.98,13300.00,13881.54,
1984-01-04,5.97,14038.94,13958.79,
1984-01-05,6.02,13734.60,13432.37,
1984-01-06,6.18,13880.06,12996.13,
1984-01-07,6.31,14447.08,13486.20,
1984-01-08,6.35,14261.52,13608.23,
1984-01-09,6.36,14315.40,13638.77,
1984-01-10,6.36,14400.00,13638.77,
1984-01-11,6.31,14423.08,13486.20,
1984-01-12,6.38,14607.73,13699.87,
1984-01-13,6.37,14384.59,13669.31,
1984-01-14,6.28,13956.15,13384.00,
1984-01-15,6.32,14066.90,13516.68,
1984-01-16,6.18,13537.55,12996.13,
1984-01-17,6.41,14100.47,13790.46,
1984-01-18,6.16,13268.08,12933.76,
1984-01-19,6.34,14024.65,13577.70,
1984-01-20,6.54,14102.39,14177.49,
