date,qu,af,fb,aqd,mm,mn,mx
1985-09-13,235.00,136615.00,2898.95,,,38.09,56.02
1985-09-14,205.59,134460.14,2897.83,,,33.75,54.76
1985-09-15,273.58,132440.14,2896.83,,,33.47,55.88
1985-09-16,369.26,130840.00,2895.82,,,39.63,51.82
1985-09-17,260.40,129135.00,2895.23,,,31.08,48.46
1985-09-18,225.10,127360.00,2894.15,,,28.14,59.24
1985-09-19,172.24,125480.15,2893.33,,,28.28,57.00
1985-09-20,188.73,123633.00,2892.34,,,31.08,62.33
1985-09-21,241.78,121780.00,2891.43,,,37.25,55.74
1985-09-22,203.77,119685.00,2890.30,,,26.46,64.57
1985-09-23,201.59,117427.00,2889.13,,,27.72,61.35
1985-09-24,205.75,115088.00,2887.92,,,36.27,67.09
1985-09-25,186.92,112658.09,2886.62,,,31.08,69.33
1985-09-26,172.64,110182.00,2885.28,,,35.29,74.23
1985-09-27,176.72,107714.00,2883.93,,,28.98,56.44
1985-09-28,227.18,105346.09,2882.62,,,23.24,50.42
1985-09-29,142.39,102810.00,2881.20,,,19.60,55.04
1985-09-30,103.31,100724.00,2880.02,,,21.00,64.15
1985-10-01,70.00,99998.00,2879.61,,,32.34,60.22
1985-10-02,218.22,99810.00,2879.50,,,41.87,57.00
1985-10-03,124.92,99550.00,2879.35,,,34.17,61.77
1985-10-04,128.95,99298.00,2879.21,,,25.62,60.08
1985-10-05,192.50,99178.00,2879.14,,,29.26,72.97
1985-10-06,51.56,98832.00,2878.94,,,38.79,50.56
1985-10-07,161.95,98675.21,2878.85,,,28.28,36.97
1985-10-08,47.29,98291.00,2878.63,,,32.34,64.85
1985-10-09,146.72,98104.00,2878.52,,,16.37,47.62
1985-10-10,133.11,97890.00,2878.40,,,32.62,49.02
1985-10-11,178.07,97771.13,2878.33,,,33.75,41.31
1985-10-12,126.52,97550.00,2878.20,,,35.99,44.95
1985-10-13,292.43,97652.00,2878.26,,,22.82,50.42
1985-10-14,150.27,97478.00,2878.16,,,35.57,53.36
1985-10-15,106.41,97217.00,2878.01,,,40.47,64.57
1985-10-16,178.00,97098.00,2877.94,,,40.47,48.32
1985-10-17,203.72,97030.00,2877.90,,,27.30,53.92
1985-10-18,108.00,96911.00,2877.83,,,30.80,61.21
1985-10-19,197.85,97115.00,2877.95,,,31.08,45.93
1985-10-20,475.16,97873.00,2878.39,,,37.81,49.58
1985-10-21,156.02,97998.00,2878.46,,,32.62,43.55
1985-10-22,40.55,97890.00,2878.40,,,30.52,45.09
1985-10-23,218.03,98138.00,2878.54,,,33.89,44.81
1985-10-24,389.41,98725.91,2878.88,,,34.31,46.35
1985-10-25,892.16,100313.00,2879.79,,,25.62,42.43
1985-10-26,319.35,100758.00,2880.04,,,26.88,34.87
1985-10-27,446.93,101462.00,2880.44,,,30.66,56.72
1985-10-28,599.19,102468.00,2881.01,,,28.70,40.05
1985-10-29,190.83,102666.00,2881.12,,,18.47,38.65
1985-10-30,449.96,103376.00,2881.52,,,24.22,36.55
1985-10-31,64.77,103322.00,2881.49,,,28.56,41.45
1985-11-01,275.50,103682.00,2881.69,,,40.33,49.72
1985-11-02,761.51,105004.00,2882.43,,,41.17,48.60
1985-11-03,604.20,106012.00,2882.99,,,40.47,49.02
1985-11-04,549.75,106912.00,2883.49,,,29.54,41.59
1985-11-05,417.67,107552.00,2883.84,,,32.06,38.79
1985-11-06,744.37,108840.00,2884.55,,,38.37,42.57
1985-11-07,254.32,109156.00,2884.72,,,26.88,39.21
1985-11-08,445.89,109850.00,2885.10,,,27.02,36.41
1985-11-09,244.23,110144.00,2885.26,,,20.02,26.18
1985-11-10,502.36,110950.00,2885.70,,,3.90,21.84
1985-11-11,236.28,111230.22,2885.85,,,-3.52,23.66
1985-11-12,168.00,111377.00,2885.93,,,-3.80,25.34
1985-11-13,251.80,111690.00,2886.10,,,4.04,26.74
1985-11-14,218.02,111934.00,2886.23,,,22.54,36.83
1985-11-15,281.54,112304.00,2886.43,,,15.25,26.04
1985-11-16,302.09,112714.77,2886.65,,,22.12,31.78
1985-11-17,178.31,112882.00,2886.74,,,20.02,28.42
1985-11-18,246.24,113180.00,2886.90,,,13.43,27.02
1985-11-19,134.32,113256.00,2886.94,,,32.62,40.19
1985-11-20,180.70,113424.00,2887.03,,,6.29,17.77
1985-11-21,246.71,113720.95,2887.19,,,1.80,9.09
1985-11-22,181.24,113892.00,2887.28,,,-11.79,11.47
1985-11-23,143.45,113984.13,2887.33,,,-13.75,6.57
1985-11-24,161.46,114110.00,2887.40,,,-15.43,5.45
1985-11-25,185.71,114280.00,2887.49,,,-4.08,22.26
1985-11-26,223.08,114528.09,2887.62,,,13.57,25.62
1985-11-27,220.96,114770.00,2887.75,,,1.52,23.38
1985-11-28,173.18,114917.14,2887.83,,,-1.14,5.87
1985-11-29,89.35,114898.00,2887.82,,,-0.44,5.87
1985-11-30,203.37,115107.00,2887.93,,,1.52,7.13
1985-12-01,195.30,115300.00,2888.03,,,-0.86,2.64
1985-12-02,189.75,115480.00,2888.13,,,2.08,11.19
1985-12-03,204.88,115690.00,2888.24,,,10.21,13.01
1985-12-04,204.88,115900.00,2888.35,,,19.88,31.08
1985-12-05,175.63,116050.00,2888.43,,,17.77,25.90
1985-12-06,205.88,116260.00,2888.54,,,24.92,27.44
1985-12-07,195.79,116450.00,2888.64,,,22.40,32.06
1985-12-08,200.83,116650.00,2888.75,,,13.71,25.62
1985-12-09,216.96,116880.00,2888.87,,,6.29,14.27
1985-12-10,121.17,116920.00,2888.89,,,6.57,38.09
1985-12-11,123.17,116960.00,2888.91,,,9.65,22.12
1985-12-12,123.17,117000.00,2888.93,,,8.81,27.44
1985-12-13,121.65,117035.00,2888.95,,,8.67,23.10
1985-12-14,218.95,117263.00,2889.07,,,13.71,27.30
1985-12-15,167.03,117390.00,2889.14,,,19.88,22.82
1985-12-16,175.58,117530.00,2889.21,,,17.63,30.10
1985-12-17,158.46,117640.00,2889.27,,,15.67,27.30
1985-12-18,169.54,117770.00,2889.34,,,11.05,22.68
1985-12-19,164.50,117890.00,2889.40,,,9.65,22.40
1985-12-20,139.29,117960.00,2889.44,,,6.71,15.95
1985-12-21,145.33,118040.00,2889.48,,,3.48,19.88
1985-12-22,147.33,118120.00,2889.52,,,3.00,18.00
1985-12-23,142.29,118190.00,2889.56,,,2.36,15.53
1985-12-24,137.75,118251.00,2889.59,,,1.94,17.63
1985-12-25,175.05,118384.00,2889.66,,,5.87,17.77
1985-12-26,136.23,118440.00,2889.69,,,-1.56,16.51
1985-12-27,148.33,118520.00,2889.73,,,-4.92,13.71
1985-12-28,135.21,118570.00,2889.76,,,7.41,9.23
1985-12-29,142.75,118631.00,2889.79,,,-1.42,18.33
1985-12-30,131.18,118669.05,2889.81,,,-2.96,17.07
1985-12-31,181.19,118840.00,2889.90,,,5.59,15.11
1986-01-01,184.95,119068.00,2890.02,,,11.33,30.94
1986-01-02,376.27,119705.23,2890.35,,,9.23,22.12
1986-01-03,225.31,120047.00,2890.53,,,17.49,30.94
1986-01-04,173.47,120280.00,2890.65,,,18.89,22.96
1986-01-05,182.04,120530.00,2890.78,,,18.89,20.72
1986-01-06,181.54,120779.00,2890.91,,,22.26,32.62
1986-01-07,114.48,120893.00,2890.97,,,10.35,26.88
1986-01-08,211.61,121199.66,2891.13,,,9.93,38.65
1986-01-09,166.07,121416.00,2891.24,,,27.86,31.92
1986-01-10,57.00,121416.00,2891.24,,,27.86,40.05
1986-01-11,291.93,121880.00,2891.48,,,20.86,39.21
1986-01-12,125.06,122015.00,2891.55,,,18.89,24.22
1986-01-13,133.47,122166.67,2891.63,,,16.79,28.98
1986-01-14,184.72,122420.00,2891.76,,,19.74,35.57
1986-01-15,97.33,122500.00,2891.80,,,23.52,30.24
1986-01-16,213.29,122810.00,2891.96,,,24.36,31.92
1986-01-17,205.23,123100.05,2892.11,,,27.02,34.03
1986-01-18,235.94,123451.00,2892.29,,,27.86,41.00
1986-01-19,599.05,124520.20,2892.84,,,32.62,36.55
1986-01-20,445.60,125287.00,2893.23,,,21.00,34.17
1986-01-21,346.88,125858.00,2893.52,,,17.07,31.08
1986-01-22,286.88,126310.00,2893.75,,,23.52,25.90
1986-01-23,336.29,126860.00,2894.03,,,22.12,33.75
1986-01-24,119.50,126980.00,2894.09,,,13.99,32.76
1986-01-25,195.13,127250.00,2894.23,,,12.59,35.43
1986-01-26,369.57,127866.00,2894.54,,,11.33,29.68
1986-01-27,186.06,128120.00,2894.67,,,22.68,43.27
1986-01-28,186.07,128376.00,2894.80,,,16.79,29.54
1986-01-29,209.27,128680.00,2894.95,,,26.46,30.66
1986-01-30,247.43,129059.70,2895.14,,,27.86,34.45
1986-01-31,246.29,129437.14,2895.33,,,28.56,36.27
1986-02-01,255.07,129830.00,2895.53,,,22.96,42.15
1986-02-02,299.00,130310.00,2895.77,,,23.38,33.33
1986-02-03,247.58,130690.00,2895.96,,,27.86,39.91
1986-02-04,227.24,131029.66,2896.13,,,25.76,32.20
1986-02-05,157.01,131230.00,2896.23,,,22.40,34.31
1986-02-06,298.00,131710.00,2896.47,,,14.13,38.79
1986-02-07,128.60,131854.00,2896.54,,,8.39,32.76
1986-02-08,159.71,132059.70,2896.64,,,4.60,31.22
1986-02-09,187.23,132320.00,2896.77,,,6.01,34.73
1986-02-10,187.08,132580.00,2896.90,,,8.53,34.17
1986-02-11,188.08,132840.00,2897.03,,,13.71,28.42
1986-02-12,256.67,133240.00,2897.23,,,7.97,25.76
1986-02-13,271.79,133670.00,2897.44,,,12.87,19.03
1986-02-14,65.08,133690.00,2897.45,,,13.57,18.89
1986-02-15,372.61,134316.00,2897.76,,,16.23,25.76
1986-02-16,364.54,134926.00,2898.06,,,23.94,32.48
1986-02-17,190.08,135189.95,2898.19,,,21.56,28.70
1986-02-18,198.78,135473.16,2898.33,,,8.81,24.78
1986-02-19,119.42,135598.95,2898.39,,,-4.08,25.48
1986-02-20,105.94,135700.00,2898.44,,,-7.58,34.03
1986-02-21,103.42,135800.00,2898.49,,,25.20,35.43
1986-02-22,496.67,136680.00,2898.92,,,27.72,36.41
1986-02-23,874.67,138280.00,2899.70,,,28.00,51.40
1986-02-24,2469.55,142851.00,2901.91,,,34.17,56.30
1986-02-25,2507.29,147522.64,2904.13,,,35.43,52.38
1986-02-26,2311.02,151834.75,2906.15,,,25.06,49.30
1986-02-27,1430.86,153691.00,2907.01,,,23.94,50.98
1986-02-28,1214.35,153775.00,2907.05,,,24.78,50.98
1986-03-01,831.06,152349.00,2906.39,,,27.02,55.18
1986-03-02,1053.55,150440.00,2905.50,,,21.84,52.52
1986-03-03,910.36,148247.00,2904.47,,,22.96,47.20
1986-03-04,946.75,146148.00,2903.48,,,26.04,56.44
1986-03-05,882.72,143922.00,2902.42,,,23.24,47.62
1986-03-06,910.53,141769.00,2901.39,,,30.10,51.96
1986-03-07,1588.70,141937.00,2901.47,,,27.30,44.25
1986-03-08,1567.03,142746.31,2901.86,,,27.58,33.75
1986-03-09,1301.07,143040.00,2902.00,,,27.30,44.39
1986-03-10,1183.18,143082.00,2902.02,,,29.68,41.03
1986-03-11,790.40,142356.84,2901.67,,,30.66,45.51
1986-03-12,720.80,141811.00,2901.41,,,23.38,43.41
1986-03-13,872.41,141790.00,2901.40,,,23.66,38.23
1986-03-14,741.87,141520.00,2901.27,,,21.56,41.73
1986-03-15,681.37,141128.00,2901.08,,,20.86,31.50
1986-03-16,680.29,140731.88,2900.88,,,25.06,44.53
1986-03-17,543.68,140400.00,2900.73,,,26.46,40.47
1986-03-18,853.45,141107.00,2901.07,,,33.47,46.91
1986-03-19,514.17,141149.00,2901.09,,,28.56,60.22
1986-03-20,556.78,141253.69,2901.14,,,25.62,55.04
1986-03-21,493.43,141560.00,2901.29,,,29.12,45.23
1986-03-22,597.32,142231.05,2901.61,,,21.84,46.49
1986-03-23,358.26,142420.00,2901.70,,,23.10,36.27
1986-03-24,767.10,143417.89,2902.18,,,28.42,38.51
1986-03-25,549.92,143985.00,2902.45,,,24.36,40.89
1986-03-26,572.04,144594.00,2902.74,,,31.78,53.50
1986-03-27,579.63,145224.00,2903.04,,,27.02,61.49
1986-03-28,492.93,145686.00,2903.26,,,26.46,53.22
1986-03-29,750.03,146652.00,2903.72,,,34.45,57.28
1986-03-30,927.59,147968.22,2904.34,,,32.48,45.23
1986-03-31,823.66,149076.31,2904.86,,,20.58,43.69
1986-04-01,722.15,149989.00,2905.29,,,27.58,40.33
1986-04-02,604.30,150660.00,2905.60,,,26.04,49.02
1986-04-03,753.00,151620.00,2906.05,,,23.80,50.84
1986-04-04,588.49,152458.00,2906.44,,,25.20,45.65
1986-04-05,649.50,153538.00,2906.94,,,21.00,57.14
1986-04-06,423.62,154166.00,2907.23,,,26.18,63.87
1986-04-07,751.38,155444.11,2907.82,,,27.30,68.77
1986-04-08,646.40,156512.00,2908.31,,,31.36,51.12
1986-04-09,807.80,157904.00,2908.91,,,33.89,49.86
1986-04-10,554.07,158880.00,2909.39,,,29.40,50.28
1986-04-11,458.00,159721.00,2909.77,,,23.38,40.47
1986-04-12,894.61,161428.00,2910.54,,,23.24,36.41
1986-04-13,480.68,162312.00,2910.94,,,27.44,38.23
1986-04-14,664.20,163560.00,2911.50,,,21.56,46.63
1986-04-15,445.91,164345.28,2911.85,,,27.16,42.99
1986-04-16,447.63,165130.00,2912.20,,,23.80,44.53
1986-04-17,253.78,165558.00,2912.39,,,31.36,42.01
1986-04-18,774.57,166894.00,2912.98,,,32.20,43.27
1986-04-19,501.83,167094.00,2913.07,,,29.68,52.66
1986-04-20,521.90,167183.06,2913.11,,,34.59,69.61
1986-04-21,552.54,167321.00,2913.17,,,38.65,71.99
1986-04-22,687.03,168047.00,2913.49,,,30.38,45.51
1986-04-23,660.15,169164.00,2913.98,,,22.54,42.71
1986-04-24,660.13,170396.00,2914.52,,,16.79,39.91
1986-04-25,548.22,171408.00,2914.96,,,28.42,41.03
1986-04-26,649.97,172373.89,2915.38,,,21.56,44.11
1986-04-27,502.06,172374.00,2915.38,,,29.82,44.95
1986-04-28,194.80,171247.00,2914.89,,,28.56,42.99
1986-04-29,483.40,170143.00,2914.41,,,26.46,39.91
1986-04-30,393.72,168635.00,2913.75,,,19.03,44.53
1986-05-01,618.31,167390.00,2913.20,,,28.42,51.82
1986-05-02,369.25,165649.00,2912.43,,,36.41,49.58
1986-05-03,391.48,163964.00,2911.68,,,28.00,51.40
1986-05-04,545.24,162582.00,2911.06,,,32.90,46.49
1986-05-05,347.95,160890.00,2910.30,,,28.14,43.83
1986-05-06,627.79,160120.00,2909.95,,,27.86,50.42
1986-05-07,482.84,159405.63,2909.63,,,26.46,46.63
1986-05-08,466.45,158988.00,2909.44,,,27.58,51.68
1986-05-09,472.72,158680.00,2909.30,,,36.27,45.37
1986-05-10,584.58,158580.00,2909.25,,,30.94,39.49
1986-05-11,460.51,158222.00,2909.09,,,31.08,43.27
1986-05-12,475.12,157891.00,2908.94,,,35.71,50.28
1986-05-13,561.97,157524.00,2908.77,,,33.33,44.67
1986-05-14,271.33,156644.00,2908.37,,,29.12,45.23
1986-05-15,507.18,156448.00,2908.28,,,25.20,49.16
1986-05-16,548.02,155972.00,2908.06,,,23.24,60.08
1986-05-17,592.92,155232.00,2907.72,,,36.55,66.25
1986-05-18,762.71,155167.95,2907.69,,,51.26,64.01
1986-05-19,991.94,156147.67,2908.14,,,37.25,66.95
1986-05-20,818.58,157194.11,2908.62,,,39.21,51.96
1986-05-21,773.50,158327.67,2909.14,,,33.47,44.25
1986-05-22,857.68,159652.00,2909.74,,,32.20,51.68
1986-05-23,488.58,159790.00,2909.80,,,25.48,56.30
1986-05-24,663.09,159812.00,2909.81,,,42.01,71.71
1986-05-25,1089.98,161248.00,2910.46,,,45.65,79.28
1986-05-26,1200.04,163164.11,2911.32,,,45.51,72.97
1986-05-27,1872.49,166414.00,2912.77,,,49.72,75.22
1986-05-28,1551.88,169026.00,2913.92,,,42.01,85.30
1986-05-29,2093.89,172719.00,2915.53,,,47.48,88.52
1986-05-30,2067.61,176346.00,2917.09,,,51.54,91.61
1986-05-31,2045.91,179924.00,2918.61,,,52.24,89.51
1986-06-01,2283.82,183960.00,2920.30,,,58.40,85.72
1986-06-02,1657.67,186760.00,2921.46,,,41.17,87.12
1986-06-03,1677.98,189515.00,2922.59,,,44.39,77.88
1986-06-04,1364.11,191582.00,2923.43,,,52.10,71.43
1986-06-05,1145.30,193215.00,2924.09,,,44.39,68.77
1986-06-06,1024.27,194629.75,2924.66,,,47.34,60.50
1986-06-07,835.71,195730.00,2925.10,,,44.67,55.04
1986-06-08,800.56,196584.00,2925.44,,,40.47,59.94
1986-06-09,929.18,197714.94,2925.89,,,31.64,78.58
1986-06-10,874.53,198449.88,2926.18,,,41.73,83.20
1986-06-11,746.27,198500.00,2926.20,,,50.28,57.28
1986-06-12,926.02,198625.00,2926.25,,,51.12,81.94
1986-06-13,905.30,198802.13,2926.32,,,45.65,85.86
1986-06-14,852.18,198860.00,2926.34,,,43.69,59.52
1986-06-15,762.08,198880.00,2926.35,,,32.76,63.59
1986-06-16,669.58,198780.00,2926.31,,,43.97,55.60
1986-06-17,742.08,198800.00,2926.32,,,44.53,64.85
1986-06-18,685.71,198730.00,2926.29,,,41.31,53.64
1986-06-19,583.58,198630.00,2926.25,,,40.61,58.40
1986-06-20,576.79,198580.00,2926.23,,,44.95,54.90
1986-06-21,491.67,198500.00,2926.20,,,33.19,73.39
1986-06-22,528.79,198450.00,2926.18,,,39.63,78.72
1986-06-23,493.58,198350.00,2926.14,,,44.95,85.86
1986-06-24,582.13,198380.00,2926.15,,,49.44,78.58
1986-06-25,624.29,198450.00,2926.18,,,46.63,77.04
1986-06-26,515.88,198420.00,2926.17,,,41.87,78.44
1986-06-27,471.83,198380.00,2926.15,,,45.37,81.66
1986-06-28,508.08,198400.00,2926.16,,,53.78,68.21
1986-06-29,513.00,198400.00,2926.16,,,47.06,58.40
1986-06-30,443.79,198350.00,2926.14,,,34.45,77.74
1986-07-01,389.17,198150.00,2926.06,,,47.76,75.78
1986-07-02,415.37,198000.00,2926.00,,,51.40,66.67
1986-07-03,385.25,197820.00,2925.93,,,40.47,56.30
1986-07-04,381.37,197670.00,2925.87,,,36.97,47.90
1986-07-05,333.17,197470.00,2925.79,,,42.57,67.51
1986-07-06,338.04,197240.00,2925.70,,,34.17,72.69
1986-07-07,363.04,197010.00,2925.61,,,35.71,76.06
1986-07-08,353.87,196740.00,2925.50,,,46.91,71.85
1986-07-09,362.83,196460.00,2925.39,,,47.20,65.13
1986-07-10,431.62,196130.00,2925.26,,,51.12,61.21
1986-07-11,470.54,195780.00,2925.12,,,50.98,60.50
1986-07-12,393.92,195280.00,2924.92,,,44.39,62.89
1986-07-13,420.42,194660.00,2924.67,,,33.47,73.25
1986-07-14,412.08,193960.00,2924.39,,,36.97,58.40
1986-07-15,354.79,193190.00,2924.08,,,42.71,48.74
1986-07-16,328.58,192370.00,2923.75,,,37.53,47.90
1986-07-17,317.50,191530.00,2923.41,,,43.97,63.87
1986-07-18,316.00,190570.00,2923.02,,,32.06,73.81
1986-07-19,408.29,189440.00,2922.56,,,41.73,82.78
1986-07-20,196.46,187630.00,2921.82,,,46.49,86.28
1986-07-21,387.54,186080.00,2921.18,,,47.06,84.04
1986-07-22,395.17,184680.00,2920.60,,,53.36,72.97
1986-07-23,479.67,183640.00,2920.17,,,47.06,69.75
1986-07-24,305.33,182280.00,2919.60,,,39.07,79.14
1986-07-25,521.12,181350.00,2919.21,,,51.54,68.21
1986-07-26,69.00,179430.00,2918.40,,,47.20,60.92
1986-07-27,352.00,177990.00,2917.79,,,34.17,70.87
1986-07-28,356.04,176560.00,2917.18,,,37.67,64.29
1986-07-29,275.94,174985.00,2916.51,,,45.51,67.09
1986-07-30,275.94,173410.00,2915.83,,,33.47,74.93
1986-07-31,236.17,171770.00,2915.12,,,38.65,80.40
1986-08-01,310.79,170280.00,2914.47,,,42.43,84.18
1986-08-02,329.00,168840.00,2913.84,,,44.81,90.21
1986-08-03,297.75,167340.00,2913.18,,,43.55,79.70
1986-08-04,543.79,166330.00,2912.73,,,42.57,81.66
1986-08-05,129.37,164500.00,2911.92,,,42.29,83.34
1986-08-06,259.96,163050.00,2911.27,,,41.73,84.04
1986-08-07,291.12,161640.00,2910.64,,,42.99,89.65
1986-08-08,350.12,160230.00,2910.00,,,47.34,90.63
1986-08-09,361.12,158820.00,2909.36,,,47.90,92.03
1986-08-10,252.12,157410.00,2908.72,,,57.84,80.40
1986-08-11,172.17,156010.00,2908.08,,,54.76,64.85
1986-08-12,221.58,154710.00,2907.48,,,49.44,77.04
1986-08-13,307.29,153580.00,2906.96,,,43.55,82.36
1986-08-14,281.79,152330.00,2906.38,,,45.65,83.90
1986-08-15,307.92,151110.00,2905.81,,,46.07,76.06
1986-08-16,267.54,149800.00,2905.20,,,35.15,78.86
1986-08-17,200.04,148370.00,2904.50,,,40.89,83.62
1986-08-18,163.75,146870.00,2903.82,,,42.15,87.68
1986-08-19,232.37,145520.00,2903.18,,,47.06,81.10
1986-08-20,211.21,144130.00,2902.52,,,40.19,84.60
1986-08-21,235.42,142790.00,2901.88,,,43.69,84.04
1986-08-22,229.37,141440.00,2901.23,,,41.17,88.38
1986-08-23,222.37,140090.00,2900.58,,,47.90,77.04
1986-08-24,206.25,138710.00,2899.91,,,51.40,75.50
1986-08-25,195.17,137310.00,2899.23,,,42.29,81.94
1986-08-26,259.46,135980.00,2898.58,,,43.27,88.52
1986-08-27,302.67,134700.00,2897.95,,,51.54,88.66
1986-08-28,251.25,133320.00,2897.27,,,56.86,65.55
1986-08-29,218.33,131960.00,2896.59,,,51.26,58.82
1986-08-30,212.54,130650.00,2895.94,,,48.04,59.10
1986-08-31,211.54,129340.00,2895.28,,,40.47,73.53
1986-09-01,235.50,128020.00,2894.62,,,41.73,72.13
1986-09-02,408.75,126760.00,2893.98,,,44.25,73.81
1986-09-03,550.87,126010.00,2893.60,,,43.41,85.72
1986-09-04,380.17,125090.00,2893.13,,,41.87,83.34
1986-09-05,459.58,124270.00,2892.71,,,39.91,76.62
1986-09-06,498.67,123470.00,2892.30,,,40.33,64.85
1986-09-07,163.83,121510.00,2891.29,,,33.19,74.93
1986-09-08,74.37,117760.00,2889.33,,,45.51,56.44
1986-09-09,174.21,114210.00,2887.45,,,35.71,62.33
1986-09-10,206.12,110640.00,2885.53,,,42.57,57.00
1986-09-11,269.21,107090.00,2883.59,,,27.58,62.05
1986-09-12,186.62,103640.00,2881.67,,,35.57,62.75
1986-09-13,131.92,100260.00,2879.76,,,28.42,52.94
1986-09-14,21.17,96940.00,2877.85,,,29.12,55.04
1986-09-15,176.96,94290.00,2876.30,,,38.79,53.22
1986-09-16,206.79,92560.00,2875.38,,,37.25,53.36
1986-09-17,107.33,91200.00,2874.47,,,37.11,41.87
1986-09-18,114.87,90450.00,2874.02,,,37.67,54.90
1986-09-19,130.87,89940.00,2873.71,,,37.25,50.00
1986-09-20,104.46,89090.00,2873.20,,,34.31,50.28
1986-09-21,110.08,87910.00,2872.48,,,35.57,60.50
1986-09-22,124.87,86440.00,2871.58,,,32.48,64.85
1986-09-23,115.62,85150.00,2870.79,,,36.55,47.48
1986-09-24,76.33,84510.00,2870.39,,,29.12,48.18
1986-09-25,90.12,84060.00,2870.11,,,27.72,47.62
1986-09-26,166.58,83480.00,2869.75,,,32.48,49.02
1986-09-27,120.75,82460.00,2869.11,,,28.56,45.93
1986-09-28,79.75,81200.00,2868.32,,,41.17,50.28
1986-09-29,103.19,79925.00,2867.51,,,43.27,51.54
1986-09-30,107.52,78970.00,2866.90,,,30.94,49.58
1986-10-01,93.00,78640.00,2866.69,,,26.18,52.66
1986-10-02,86.58,78300.00,2866.47,,,24.22,55.18
1986-10-03,102.33,77900.00,2866.21,,,29.54,68.63
1986-10-04,94.04,77430.00,2865.91,,,37.11,73.67
1986-10-05,91.00,76950.00,2865.60,,,35.29,72.27
1986-10-06,113.17,76510.00,2865.31,,,38.37,79.28
1986-10-07,110.12,76060.00,2865.02,,,32.20,71.15
1986-10-08,137.33,75660.00,2864.76,,,32.34,64.85
1986-10-09,134.29,75250.00,2864.49,,,33.47,69.05
1986-10-10,123.21,74820.00,2864.21,,,26.46,55.04
1986-10-11,130.25,74400.00,2863.93,,,23.66,53.92
1986-10-12,152.42,74020.00,2863.68,,,29.00,54.00
1986-10-13,129.21,73590.00,2863.40,,,34.03,54.76
1986-10-14,177.25,73410.00,2863.28,,,24.08,62.89
1986-10-15,152.87,73380.00,2863.26,,,23.24,60.92
1986-10-16,137.75,73320.00,2863.22,,,23.52,61.07
1986-10-17,172.79,73270.00,2863.19,,41.84,31.00,52.00
1986-10-18,162.71,73200.00,2863.14,,,27.44,61.63
1986-10-19,167.75,73140.00,2863.10,,,25.62,68.07
1986-10-20,152.62,73050.00,2863.04,,,23.66,63.03
1986-10-21,109.29,72880.00,2862.93,,,28.00,62.33
1986-10-22,124.37,72730.00,2862.83,,,25.48,59.38
1986-10-23,119.33,72570.00,2862.72,,,23.24,58.96
1986-10-24,107.21,72380.00,2862.60,,,30.52,57.42
1986-10-25,150.59,72282.00,2862.53,,,42.71,48.60
1986-10-26,488.89,72855.00,2862.91,,,44.81,49.58
1986-10-27,411.73,73274.96,2863.19,,,36.83,51.82
1986-10-28,245.39,73365.00,2863.25,,,28.70,40.05
1986-10-29,252.97,73470.07,2863.32,,,35.29,43.13
1986-10-30,233.59,73620.00,2863.42,,,33.61,41.31
1986-10-31,238.56,73875.00,2863.59,,,33.05,48.88
1986-11-01,190.19,74040.00,2863.70,,,34.45,46.63
1986-11-02,228.57,74275.18,2863.85,,,35.43,52.52
1986-11-03,182.53,74425.00,2863.95,,,33.33,39.77
1986-11-04,131.69,74470.00,2863.98,,,33.05,42.99
1986-11-05,268.10,74855.00,2864.23,,,34.03,37.25
1986-11-06,133.98,75094.96,2864.39,,,32.76,39.49
1986-11-07,134.08,75230.00,2864.48,,,29.12,36.27
1986-11-08,143.39,75324.00,2864.54,,,30.10,35.43
1986-11-09,204.86,75539.93,2864.68,,,20.16,31.64
1986-11-10,149.85,75615.00,2864.73,,,10.91,26.88
1986-11-11,239.43,75847.92,2864.88,,,27.16,46.35
1986-11-12,138.17,75880.00,2864.90,,,22.82,28.98
1986-11-13,159.81,75955.00,2864.95,,,22.96,29.12
1986-11-14,218.31,76150.00,2865.08,,,22.54,36.83
1986-11-15,169.27,76243.77,2865.14,,,36.69,39.77
1986-11-16,162.43,76323.96,2865.19,,,30.24,39.07
1986-11-17,213.29,76505.04,2865.31,,,25.20,38.79
1986-11-18,282.58,76768.00,2865.48,,,27.30,41.87
1986-11-19,315.31,77308.12,2865.83,,,30.80,40.19
1986-11-20,105.78,77510.00,2865.96,,,31.78,44.81
1986-11-21,456.75,78410.00,2866.54,,,36.13,36.27
1986-11-22,602.96,79600.00,2867.30,,,28.70,36.83
1986-11-23,549.52,80684.00,2867.99,,,29.26,50.42
1986-11-24,1590.12,83832.00,2869.97,,,24.78,45.79
1986-11-25,881.76,85575.00,2871.05,,,20.30,35.57
1986-11-26,709.34,86976.00,2871.91,,,27.86,33.89
1986-11-27,646.80,88252.96,2872.69,,,27.86,36.83
1986-11-28,475.42,89190.00,2873.26,,,24.00,36.00
1986-11-29,482.53,90141.13,2873.83,,,20.30,34.73
1986-11-30,430.05,90988.16,2874.34,,,20.72,34.73
1986-12-01,212.65,91404.00,2874.59,,,21.28,35.15
1986-12-02,324.66,92042.00,2874.97,,,15.11,32.48
1986-12-03,95.77,92226.00,2875.08,,,10.21,13.01
1986-12-04,190.56,92600.00,2875.30,,,19.60,24.08
1986-12-05,545.49,93678.00,2875.94,,,21.70,25.76
