date,qu,gain,qd
1983-06-04,31690.56,1900.00,20200.00
1983-06-05,33527.36,2000.00,20500.00
1983-06-06,32385.92,1900.00,20500.00
1983-06-07,31190.45,1800.00,21200.00
1983-06-08,32535.79,1900.00,21800.00
1983-06-09,33736.62,2100.00,22300.00
1983-06-10,34517.78,1900.00,22400.00
1983-06-11,36242.30,2400.00,23400.00
1983-06-12,36709.48,2300.00,23300.00
1983-06-13,32192.92,2000.00,23000.00
1983-06-14,26888.49,1900.00,22900.00
1983-06-15,25373.36,1900.00,22800.00
1983-06-16,25546.30,1900.00,22500.00
1983-06-17,25475.28,1900.00,22500.00
1983-06-18,26337.91,2000.00,22500.00
1983-06-19,27441.97,2000.00,22500.00
1983-06-20,25379.63,1900.00,22400.00
1983-06-21,23735.48,1800.00,22400.00
1983-06-22,22578.58,2200.00,22100.00
1983-06-23,23216.92,1700.00,21000.00
1983-06-24,25478.17,1700.00,21000.00
1983-06-25,26260.85,1300.00,21200.00
1983-06-26,25886.57,1500.00,22400.00
1983-06-27,25160.27,1600.00,22500.00
1983-06-28,25060.85,1600.00,22500.00
1983-06-29,24011.92,1700.00,22200.00
1983-06-30,23165.45,1700.00,21100.00
1983-07-01,25469.50,1400.00,20600.00
1983-07-02,25961.54,1200.00,21900.00
1983-07-03,27911.41,1400.00,22100.00
1983-07-04,23412.68,1400.00,22000.00
1983-07-05,19992.04,1300.00,21900.00
1983-07-06,20675.83,1500.00,21800.00
1983-07-07,21089.73,1200.00,21100.00
1983-07-08,23369.01,1000.00,21700.00
1983-07-09,22916.24,1200.00,21900.00
1983-07-10,24244.26,1300.00,22100.00
1983-07-11,21917.21,1200.00,22000.00
1983-07-12,18207.62,1200.00,21800.00
1983-07-13,17431.78,1300.00,21100.00
1983-07-14,16667.48,1100.00,20900.00
1983-07-15,16635.86,1100.00,20900.00
1983-07-16,16069.20,1100.00,20900.00
1983-07-17,14251.87,1500.00,20600.00
1983-07-18,14334.26,1800.00,18500.00
1983-07-19,12625.30,600.00,17700.00
1983-07-20,12515.29,1400.00,18300.00
1983-07-21,12763.84,1300.00,16700.00
1983-07-22,12235.13,1000.00,16000.00
1983-07-23,10890.60,900.00,15900.00
1983-07-24,11883.22,1300.00,15600.00
1983-07-25,11614.42,1100.00,14600.00
1983-07-26,12900.52,1100.00,13500.00
1983-07-27,12634.57,800.00,13000.00
1983-07-28,11555.95,1300.00,12700.00
1983-07-29,10412.66,900.00,11800.00
1983-07-30,9817.84,900.00,11300.00
1983-07-31,9633.49,800.00,11000.00
1983-08-01,9677.36,920.00,10900.00
1983-08-02,9946.19,1120.00,10200.00
1983-08-03,9511.20,840.00,9600.00
1983-08-04,8811.42,860.00,9630.00
1983-08-05,8458.79,830.00,9600.00
1983-08-06,8336.62,820.00,9600.00
1983-08-07,7630.38,770.00,9740.00
1983-08-08,7683.91,800.00,9880.00
1983-08-09,8315.17,940.00,9810.00
1983-08-10,8256.87,860.00,9600.00
1983-08-11,8006.99,990.00,9740.00
1983-08-12,7612.97,920.00,9670.00
1983-08-13,7713.64,1010.00,9530.00
1983-08-14,7056.97,950.00,9190.00
1983-08-15,6803.58,970.00,8650.00
1983-08-16,8640.92,1140.00,8140.00
1983-08-17,8714.99,850.00,7560.00
1983-08-18,8542.84,810.00,7530.00
1983-08-19,8688.95,1010.00,7240.00
1983-08-20,9712.65,940.00,7150.00
1983-08-21,8557.43,-170.00,7270.00
1983-08-22,9305.38,900.00,10700.00
1983-08-23,9336.32,900.00,10700.00
1983-08-24,7858.04,1190.00,10500.00
1983-08-25,7051.34,870.00,9630.00
1983-08-26,7004.47,980.00,9220.00
1983-08-27,6774.76,850.00,9050.00
1983-08-28,6993.90,920.00,8680.00
1983-08-29,6118.68,740.00,8370.00
1983-08-30,6365.34,760.00,8370.00
1983-08-31,6199.10,720.00,8240.00
1983-09-01,6216.93,680.00,8210.00
1983-09-02,5455.20,790.00,8180.00
1983-09-03,6322.77,700.00,8010.00
1983-09-04,5950.94,680.00,7980.00
1983-09-05,5443.55,650.00,7950.00
1983-09-06,5569.78,760.00,7880.00
1983-09-07,5202.44,650.00,7560.00
1983-09-08,5822.37,630.00,7560.00
1983-09-09,7037.62,590.00,7630.00
1983-09-10,6779.65,600.00,7750.00
1983-09-11,5612.60,610.00,7750.00
1983-09-12,5794.50,670.00,7690.00
1983-09-13,5300.91,590.00,7530.00
1983-09-14,6107.25,430.00,7630.00
1983-09-15,5074.76,470.00,8140.00
1983-09-16,5005.58,640.00,8310.00
1983-09-17,5101.07,540.00,8080.00
1983-09-18,4646.12,540.00,8080.00
1983-09-19,4521.84,530.00,8080.00
1983-09-20,5154.00,670.00,7980.00
1983-09-21,5097.26,620.00,7560.00
1983-09-22,5014.91,620.00,7270.00
1983-09-23,5255.52,640.00,6960.00
