date,storage(m3),avg water temperature (C),min air temperature (C),max air temperature (C),avg air temperature (C),power discharge (m3/d)
1999-11-12,401850675.63240004,9.644641600000003,4.222376000000004,19.666944000000008,9.866865600000004,733922.5245696
1999-11-13,401907144.34679997,9.594641200000005,3.3890360000000044,17.944708000000006,8.777968000000001,733922.5245696
1999-11-14,401997459.75240004,9.600196800000003,2.8334760000000045,20.166948000000005,8.983525200000006,728980.4500991999
1999-11-15,401952277.38,9.583530000000003,3.0001440000000024,14.278012000000004,6.8279524000000045,731451.4873344001
1999-11-16,401997459.75240004,9.555752000000005,2.055692000000004,18.500268000000005,9.122415200000006,726509.412864
1999-11-17,402053928.4668,9.455751200000005,2.1668040000000026,11.000208,5.966834400000003,716649.7296384
1999-11-18,402155530.21440005,9.539085200000006,-2.4998999999999985,8.611300000000004,2.6223632000000023,743782.2077951999
1999-11-19,402245845.62,9.672419600000001,0.7223480000000002,10.111312000000005,4.5112672000000025,753666.356736
1999-11-20,402392629.74,9.566863200000004,0.2223440000000032,7.222400000000004,4.283487600000004,751195.3195008
1999-11-21,402449061.45,9.505751600000004,-1.9443399999999968,2.500140000000002,0.2667888000000005,733922.5245696
1999-11-22,402392629.74,9.477973600000006,-4.777695999999999,3.8890400000000014,-1.3776687999999986,743782.2077951999
1999-11-23,402245845.62,9.427973200000004,-5.611035999999999,5.000160000000005,-1.3443351999999997,743782.2077951999
1999-11-24,402302314.33440006,9.377972800000006,-2.111007999999998,5.055716000000004,1.150129200000002,736393.5618048001
1999-11-25,403138231.39559996,9.300194400000006,0.5556800000000024,5.000160000000005,2.4445840000000025,733922.5245696
1999-11-26,404130405.70320004,9.222416000000003,4.277932000000003,8.555744000000004,6.072390800000004,728980.4500991999
1999-11-27,404883062.8644,9.105748400000003,2.1668040000000026,10.889096000000006,5.216828400000004,733922.5245696
1999-11-28,405133965.0312,8.983525200000006,0.6667920000000045,9.166860000000003,4.189042400000002,743782.2077951999
1999-11-29,405031314.82559997,8.822412800000006,2.6668079999999996,10.944652000000005,6.355726400000002,743782.2077951999
1999-11-30,405430456.6188,8.750190000000003,5.7779440000000015,14.444680000000005,9.494640400000005,733922.5245696
1999-12-01,405772599.30120003,8.572410800000004,-1.8332279999999983,5.833500000000004,3.3334800000000016,743782.2077951999
1999-12-02,405829610.74679995,8.483521200000006,-2.333231999999997,1.666800000000002,-0.02765799999999885,743782.2077951999
1999-12-03,406023452.1288,8.394631600000004,-6.722155999999998,5.055716000000004,-2.6887903999999985,743782.2077951999
1999-12-04,405977850.37320006,8.405742800000006,-7.9999439999999975,1.944580000000002,-4.3276923999999966,743782.2077951999
1999-12-05,405875212.50240004,8.450187600000003,-6.888823999999998,3.944596000000004,-2.8721251999999993,743782.2077951999
1999-12-06,406069090.8888,8.366853600000006,-3.7776879999999977,2.7779200000000017,-0.6943299999999972,738864.59904
1999-12-07,406171704.09000003,8.289075200000003,-2.666567999999998,3.1112560000000045,-0.11099199999999598,738864.59904
1999-12-08,406217342.85,8.211296800000003,-5.999927999999999,1.3334640000000029,-3.544352799999997,743782.2077951999
1999-12-09,406126102.33440006,8.133518400000003,-4.499915999999999,0.7223480000000002,-1.861005999999998,733922.5245696
1999-12-10,406217342.85,8.027962000000006,-5.166587999999999,3.500148000000003,-1.7332271999999982,748724.2822655999
1999-12-11,406274354.2956,7.905738800000002,-6.444375999999998,0.5001240000000031,-2.849902799999997,738864.59904
1999-12-12,406377004.5012,7.850182800000006,0.33345600000000175,4.611268000000003,2.1668040000000026,728980.4500991999
1999-12-13,406673496.0888,7.616847600000003,-6.666599999999999,2.3890279999999997,-0.7776639999999979,733922.5245696
1999-12-14,406719097.84440005,7.511291200000006,-7.722163999999998,-0.1665479999999988,-3.805465999999999,733922.5245696
1999-12-15,406776146.29440004,7.500180000000004,-1.7776719999999955,0.7223480000000002,-0.499883999999998,733922.5245696
1999-12-16,406924398.2556,7.411290400000006,-0.5554399999999973,6.000168000000002,2.2501379999999997,751195.3195008
1999-12-17,407118251.9724,7.311289600000002,-0.7221079999999986,4.611268000000003,2.3056940000000026,743782.2077951999
1999-12-18,407072650.2168,7.2001776000000035,2.333472000000004,6.055724000000001,4.211264800000002,753666.356736
1999-12-19,407369141.8044,6.994620400000006,-0.3332159999999966,4.611268000000003,2.1168036000000043,753666.356736
1999-12-20,407072650.2168,6.983509200000004,-0.22210399999999808,8.555744000000004,3.5223704000000033,743782.2077951999
1999-12-21,406970000.0112,6.955731200000006,-2.7776799999999984,8.111296000000003,1.4723540000000028,743782.2077951999
1999-12-22,407015638.7712,6.905730800000004,-4.722139999999998,5.666832000000003,-0.7554415999999975,746253.2450304
1999-12-23,406776146.29440004,6.839063600000003,-5.277699999999998,4.0001520000000035,-1.5721147999999978,743782.2077951999
1999-12-24,406570845.88320005,6.772396400000002,-5.4999239999999965,3.6112600000000015,-1.999895999999998,743782.2077951999
1999-12-25,406422606.2568,6.700173600000003,-5.611035999999999,2.500140000000002,-2.1721195999999985,726509.412864
1999-12-26,406319956.05120003,6.644617600000004,-5.333255999999999,4.111264000000002,-2.199897599999998,733922.5245696
1999-12-27,406377004.5012,6.555728000000002,-7.555496,4.166820000000001,-2.9665703999999984,736393.5618048001
1999-12-28,406274354.2956,6.516838800000002,-6.222151999999998,2.4445840000000025,-3.599908799999998,743782.2077951999
1999-12-29,406171704.09000003,6.4446160000000035,-6.999935999999998,-1.2776679999999985,-5.066587199999999,746253.2450304
1999-12-30,406217342.85,6.3112816000000045,-6.999935999999998,2.8334760000000045,-3.8276883999999978,743782.2077951999
1999-12-31,406126102.33440006,6.261281200000006,-6.277707999999999,5.055716000000004,-1.4832251999999997,733922.5245696
2000-01-01,406217342.85,6.200169600000002,-5.166587999999999,2.8334760000000045,-0.8609979999999986,738864.59904
2000-01-02,406422606.2568,6.061279600000002,-4.111023999999997,-1.2776679999999985,-2.3165651999999994,733922.5245696
2000-01-03,406377004.5012,6.000168000000002,-9.222175999999997,-2.111007999999998,-4.694361999999998,733922.5245696
2000-01-04,406468245.0168,5.900167200000002,-3.0554599999999983,2.5556960000000046,-0.9221095999999989,736393.5618048001
2000-01-05,406821748.05,5.866833600000003,-6.722155999999998,3.3890360000000044,-0.42766119999999574,738864.59904
2000-01-06,406673496.0888,5.7834996000000025,-10.222183999999999,-1.0554439999999978,-6.805489999999999,751195.3195008
2000-01-07,406719097.84440005,5.722388000000002,-6.555487999999999,1.166796000000005,-2.955459199999998,743782.2077951999
2000-01-08,407015638.7712,5.6501652000000036,-3.499907999999998,2.7779200000000017,-0.749886,733922.5245696
2000-01-09,407118251.9724,5.622387200000002,-1.4998919999999956,4.8890480000000025,1.2612412000000042,738864.59904
2000-01-10,407620043.9712,5.511275200000004,-1.4998919999999956,4.444600000000001,0.14456559999999996,733922.5245696
2000-01-11,407813885.3532,5.489052800000003,1.277908,6.4446160000000035,3.4779256000000025,738864.59904
2000-01-12,407916535.5588,5.4279412000000065,-3.944355999999999,1.2223520000000043,-1.4832251999999997,733922.5245696
2000-01-13,408019185.76440006,5.361274000000002,-3.944355999999999,-0.05543599999999671,-1.7943387999999985,733922.5245696
2000-01-14,408110734.65000004,5.350162800000003,-1.7776719999999955,1.666800000000002,-0.005435599999998431,733922.5245696
2000-01-15,408363487.03679997,5.239050800000005,-0.05543599999999671,3.6112600000000015,1.805690000000002,733922.5245696
2000-01-16,408570279.9588,5.294606800000004,-1.110999999999997,9.111304000000004,4.094597200000003,733922.5245696
2000-01-17,408811585.6512,5.216828400000004,-4.277691999999998,0.8334600000000023,-1.6054483999999967,736393.5618048001
2000-01-18,408914963.61,5.144605600000002,-2.333231999999997,1.7779120000000042,0.13345440000000508,736393.5618048001
2000-01-19,409018378.57320005,5.155716800000004,0.3890120000000046,3.777928000000003,1.9001352000000047,733922.5245696
2000-01-20,409317078.09000003,5.155716800000004,1.3890200000000021,5.2779400000000045,2.889032000000004,733922.5245696
2000-01-21,409317078.09000003,5.111272000000003,-1.8887839999999976,7.222400000000004,1.7001336000000045,731451.4873344001
