date,computed flow(m3/d),wse(m),outflow(m3/d),avg air temperature (C),max air temperature (C),min air temperature (C),storage(m3)
1990-01-04,1199798.673408,1920.0540720000001,665149.3991424,-11.383304399999998,-8.0610556,-15.6611164,132975496.42199999
1990-01-05,934492.4577791999,1920.060168,665345.124864,-8.777727999999998,-5.527701999999998,-11.333303999999998,133151551.0224
1990-01-06,1111379.5786752,1920.0723600000001,665491.9191552,-6.3999311999999975,-2.0332295999999985,-10.244406399999999,133504486.6548
1990-01-07,1112333.7415679998,1920.084552,665663.1791616,-5.455479199999997,-0.6776631999999978,-12.905538799999999,133858372.06680001
1990-01-08,1108835.1442944,1920.096744,665932.3020288,0.4445680000000003,5.305718000000002,-3.561019599999998,134208766.7304
1990-01-09,958126.3386624,1920.1028400000002,666054.6306048001,-0.488772799999996,3.777928000000003,-2.2943427999999972,134386437.18960002
1990-01-10,1066827.511296,1920.1119840000001,666128.0277503999,0.18345480000000336,6.794618800000002,-7.577718399999998,134655693.5388
1990-01-11,785349.45792,1920.1119840000001,666201.4248960001,-1.3443351999999997,5.566831200000006,-8.233279199999998,134655693.5388
1990-01-12,963631.1245824,1920.1180800000002,666299.2877568,-3.927689199999998,8.100184800000001,-10.811077599999999,134833968.4032
1990-01-13,1230062.7631104,1920.13332,666421.6163328,-1.6054483999999967,1.9890248000000028,-8.405502799999997,135278687.2824
1990-01-14,964438.4931839999,1920.1394160000002,666617.3420544,-0.38321639999999846,3.8668176000000045,-3.2999063999999994,135457776.2436
1990-01-15,1416369.1843583998,1920.160752,666837.5334912,-1.7165603999999988,3.5168148000000024,-4.083245999999999,136088799.942
1990-01-16,1053689.4222336,1920.1698960000003,667106.6563584,-4.099912799999997,-1.0721107999999973,-7.138825999999998,136357131.1812
1990-01-17,965857.5046655999,1920.1759920000002,667253.4506496,-10.722188,-4.433248799999998,-22.3389476,136537650.9792
1990-01-18,873523.8955008,1920.1790400000002,667351.3135103999,-21.138938,-4.911030399999998,-31.6001328,136625820.12960002
1990-01-19,1059096.3452927999,1920.188184,667473.6420864,-16.638901999999998,0.41679000000000244,-30.594569200000002,136899566.346
1990-01-20,873621.7583616,1920.1912320000001,667522.5735168,-20.3722652,-15.700005599999999,-29.0667792,136987834.1748
1990-01-21,966860.5989888,1920.197328,667595.9706624,-11.0055236,-2.994348399999998,-17.711132799999998,137169340.7568
1990-01-22,966933.9961344,1920.203424,667693.8335232,-7.649941199999997,-0.6776631999999978,-11.899975199999998,137350933.68240002
1990-01-23,1060539.8224896,1920.2125680000001,667816.1620992,-8.283279599999998,-4.388803999999997,-13.822212799999999,137626135.4052
1990-01-24,785349.45792,1920.2125680000001,667865.0935296001,-10.855522399999998,-7.4888287999999985,-16.3555664,137626135.4052
1990-01-25,967545.6390144001,1920.2186640000002,667938.4906752,-7.055491999999997,-3.561019599999998,-9.544400799999998,137808332.736
1990-01-26,967814.7618815999,1920.22476,668060.8192512,-7.216604399999998,-2.377676799999998,-22.5167268,137990789.09759998
1990-01-27,968181.7476096001,1920.2308560000001,668109.7506816,-15.13889,-8.799950399999998,-25.7056412,138173627.838
1990-01-28,1231775.3631744,1920.2460960000003,668256.5449728,-7.527717999999998,-5.133254399999997,-10.199961599999998,138620061.2544
1990-01-29,959887.8701567999,1920.2521920000002,668452.2706944001,-6.361041999999998,-1.110999999999997,-13.777767999999998,138794598.6744
1990-01-30,1134768.8024064,1920.264384,668647.9964160001,-4.816585199999999,-1.1998895999999988,-8.188834399999998,139144006.55400002
