date,avg water temperature (C),min_temp(C),max_temp(C),inflow(m3/d),outflow(m3/d)
2022-05-11,8.550188400000003,8.355742400000004,8.739078800000001,780700.9720320001,897891.74784
2022-05-12,8.611300000000004,8.477965600000001,8.8946356,700086.440448,655681.16736
2022-05-13,8.600188800000002,8.416854000000004,8.883524400000006,623875.7376,623875.7376
2022-05-14,8.694634000000004,8.522410400000005,8.900191200000005,1097629.8467328,907678.03392
2022-05-15,8.750190000000003,8.489076800000003,9.044636800000003,1703792.406528,1585378.34496
2022-05-16,8.539077200000001,8.472410000000004,8.605744400000006,1402007.8095359998,1387206.05184
2022-05-17,8.722412000000006,8.505743600000006,8.911302400000004,1110376.484352,1007987.46624
2022-05-18,8.755745600000001,8.633522400000004,8.922413600000006,903763.519488,785349.45792
2022-05-19,8.855746400000001,8.483521200000006,9.072414800000004,741311.17056,741311.17056
2022-05-20,8.800190400000005,8.383520400000005,9.189082400000004,588522.779136,574944.3072
2022-05-21,8.955747200000001,8.700189600000002,9.244638400000003,458487.50284800003,486867.73248
2022-05-22,9.139082000000005,8.755745600000001,9.544640800000003,379218.5856,379218.5856
2022-05-23,9.244638400000003,8.839079600000002,9.672419600000001,329430.855168,286248.86784
2022-05-24,9.255749600000001,8.922413600000006,9.772420400000005,243066.88051199997,286248.86784
2022-05-25,9.433528800000001,8.966858400000003,10.155756800000002,227041.837056,286248.86784
2022-05-26,9.400195200000006,9.077970400000005,9.961310800000003,241843.59475199998,286248.86784
2022-05-27,9.189082400000004,8.916858000000001,9.439084400000006,254198.78092800002,283802.29632
2022-05-28,9.327972400000004,8.555744000000004,9.883532400000004,298604.054016,283802.29632
2022-05-29,9.577974400000006,8.955747200000001,11.116875600000004,4534255.4637311995,2074692.64896
2022-05-30,11.539101200000005,10.855762400000003,11.989104800000003,3937536.6700032,3816651.5712
2022-05-31,12.189106400000004,11.627990800000003,13.078002400000003,2630039.9182848,3816651.5712
2022-06-01,10.772428400000003,9.389084000000004,12.944668000000004,1791232.8726528,3229474.4063999997
2022-06-02,9.694642000000005,9.327972400000004,10.539093200000003,1449104.311296,2691228.672
2022-06-03,10.000200000000003,9.344639200000003,10.427981200000005,1515210.6737664002,1717493.20704
2022-06-04,9.922421600000003,9.227971600000004,10.389092000000005,2972095.082496,2143196.65152
2022-06-05,10.316869200000003,9.522418400000003,10.905762800000005,2979654.9884928004,2715694.3871999998
2022-06-06,10.139090000000003,9.439084400000006,10.644649600000001,2593390.2769152,2886954.3936
2022-06-07,10.500204000000004,10.261313200000004,10.677983200000003,1785532.3610112,1989062.64576
2022-06-08,10.433536800000006,9.9279772,10.972430000000003,1297392.4113407999,1064258.6112
2022-06-09,10.327980400000005,10.044644800000004,10.716872400000003,1014593.209344,956609.46432
2022-06-10,10.305758,10.061311600000003,10.522426400000004,848764.5917184,1169461.18656
2022-06-11,10.466870400000005,10.1057564,10.733539200000003,1354348.5963264,1776210.92352
2022-06-12,10.561315600000004,10.300202400000003,10.922429600000001,2375009.30304,2302223.80032
2022-06-13,10.733539200000003,10.3446472,10.922429600000001,3576031.2622080003,2495502.9504
2022-06-14,10.966874400000005,10.605760400000005,11.355766400000004,2648046.684672,2544434.3808
2022-06-15,11.011319200000003,10.705761200000005,11.300210400000005,1780859.4094079998,1810462.9248
2022-06-16,11.050208400000002,10.766872800000005,11.383544400000005,1298395.505664,1387206.05184
2022-06-17,11.144653600000005,10.883540400000005,11.577990400000004,991840.0942079999,873426.03264
2022-06-18,11.139098,10.983541200000005,11.394655600000004,809815.1731199999,809815.1731199999
2022-06-19,11.166876000000006,10.977985600000004,11.450211600000003,623875.7376,623875.7376
2022-06-20,11.294654800000004,11.027986000000006,11.789103200000003,467050.503168,349859.72736
2022-06-21,11.433544800000004,10.889096000000006,11.994660400000004,391206.786048,244412.494848
2022-06-22,11.572434800000003,11.127986800000006,12.1724396,315974.711808,271569.43872
2022-06-23,11.422433600000005,11.1002088,11.866881600000003,169180.42060800001,271569.43872
2022-06-24,11.372433200000003,10.966874400000005,11.861326000000005,215053.636608,244657.152
2022-06-25,11.783547600000006,11.027986000000006,12.583554000000003,166856.17766400002,166856.17766400002
2022-06-26,12.505775600000003,11.077986400000004,14.089121600000002,169669.73491199999,67280.7168
2022-06-27,12.355774400000005,11.639102000000005,12.983557200000003,151932.091392,122328.576
2022-06-28,11.6557688,11.250210000000003,12.183550800000003,96884.232192,184471.492608
2022-06-29,11.8946596,11.1779872,12.944668000000004,101288.06092799999,130891.57632
2022-06-30,11.866881600000003,10.955763200000003,13.033557600000005,89544.517632,119148.033024
2022-07-01,11.744658400000002,11.244654400000005,12.300218400000006,89055.20332799999,207469.26489599998
2022-07-02,11.611324000000003,11.166876000000006,12.055772000000005,102756.00384,249550.29504
2022-07-03,11.6168796,11.289099200000003,12.077994400000005,64100.173824,240497.98041599998
2022-07-04,11.561323600000005,11.272432400000003,12.061327600000006,69629.4254592,229977.72288
2022-07-05,11.639102000000005,11.233543200000003,12.150217200000004,61922.72517119999,237072.780288
2022-07-06,11.783547600000006,11.439100400000004,12.266884800000003,59965.4679552,235115.52307199998
2022-07-07,11.716880400000004,11.500212000000005,12.105772400000003,34888.109875199996,254443.43808
2022-07-08,11.683546800000006,11.322432800000005,12.116883600000005,27328.2038784,274016.01024
2022-07-09,11.683546800000006,11.361322000000005,12.105772400000003,2373.1743744,305821.44
2022-07-10,11.633546400000004,11.383544400000005,11.966882400000003,9468.2317824,342520.01279999997
2022-07-11,11.683546800000006,11.266876800000006,12.094661200000004,20159.7493248,393898.01472
2022-07-12,11.833548,11.439100400000004,12.244662400000003,-1957.257216,384111.72864
2022-07-13,11.766880800000003,11.494656400000004,12.116883600000005,3058.2144,374325.44256
2022-07-14,11.661324400000005,11.294654800000004,12.055772000000005,-5724.977356799999,391451.4432
2022-07-15,11.733547200000004,11.405766800000006,12.150217200000004,-9517.1632128,401237.72927999997
2022-07-16,11.800214400000005,11.4779896,12.205773200000003,-807.3686016,393898.01472
2022-07-17,11.772436400000004,11.433544800000004,12.189106400000004,-10715.983257599999,396344.58624
2022-07-18,11.705769200000002,11.400211200000005,12.100216800000005,-23266.8951552,423256.87296
2022-07-19,11.811325600000004,11.422433600000005,12.216884400000005,-22019.14368,423256.87296
2022-07-20,11.944660000000002,11.511323200000003,12.383552400000003,-8440.671744000001,420810.30144
2022-07-21,12.061327600000006,11.716880400000004,12.472442000000004,-18545.0121216,450169.15968
2022-07-22,12.139106000000005,11.766880800000003,12.511331200000004,-18545.0121216,447722.58816
2022-07-23,12.144661600000003,11.855770400000004,12.550220400000004,-39756.7872,479528.01792
2022-07-24,12.177995200000005,11.905770800000003,12.527998000000004,-16489.8920448,499100.59008
