date,avg gain (m3/d),power discharge (m3/d),computed flow(m3/d),avg air temperature (C),max air temperature (C),min air temperature (C),wse(m),storage(m3)
2015-06-27,-807.3686016,,141338.4367104,23.455863200000003,34.722620000000006,11.833548,1470.620376,699357256.92
2015-06-28,29309.9268096,,170721.7606656,25.08365400000001,36.83374800000001,13.778008000000003,1470.577704,695148623.16
2015-06-29,645576.8269824,,787477.9751424,26.444776000000005,34.278172000000005,18.666936,1470.541128,691556729.4
2015-06-30,-513413.033472,,-372001.199616,25.900327200000007,33.33372000000001,17.000256000000007,1470.49236,686805364.44
2015-07-01,-214172.8708608,,-73495.0084608,24.539205200000005,33.500388,13.555784000000003,1470.4466400000001,682352501.64
2015-07-02,737127.5332608001,,878539.3671167999,23.622531200000005,33.83372400000001,11.611324000000003,1470.4100640000001,678827215.8
2015-07-03,-758877.5540736,,-616242.4344576,23.105860400000005,32.555936,11.944660000000002,1470.3582480000002,673831621.8
2015-07-04,158586.76592639997,,301466.5426944,22.633634400000005,32.44482400000001,11.389100000000003,1470.315576,669753736.92
2015-07-05,-129545.96198400001,,14067.78624,20.272504400000003,26.333664000000006,11.611324000000003,1470.2698560000001,665388451.2
2015-07-06,693358.3687679999,,838440.0599039999,20.5336176,29.889248000000002,11.000208,1470.2332800000001,661896469.32
2015-07-07,-136959.0736896,,8122.6174464,19.533609600000005,28.000344000000005,9.777976000000006,1470.18756,657549685.8
2015-07-08,441263.63934720005,,582920.1303551999,17.089145600000002,27.333672000000007,10.333536000000006,1470.147936,653777703.96
2015-07-09,20624.5979136,,161302.46031360002,17.389148000000006,26.333664000000006,11.055764000000003,1470.099168,649168189.2
2015-07-10,470157.64899839996,,611324.8257024,15.378020800000002,23.16697200000001,12.277996000000005,1470.0534480000001,644837440.92
2015-07-11,1068662.439936,,1210808.245248,14.122455200000005,21.389180000000003,10.889096000000006,1470.013824,641106163.92
2015-07-12,799490.6413056,,939434.5322496,16.722476000000007,24.000312000000008,11.277988,1469.971152,637103521.32
2015-07-13,196288.43304960002,,337700.2669056,15.4057988,21.889184000000007,10.389092000000005,1469.922384,632523610.08
2015-07-14,211065.72503039998,,350030.98736639996,14.366901600000006,23.722532000000008,7.666848000000002,1469.873616,627956033.64
2015-07-15,-332146.5495552,,-192691.97291520002,17.2835916,26.000328000000003,8.611300000000004,1469.818752,622845726.0
2015-07-16,776713.0604544,,917635.5800064,17.133590400000003,24.722540000000002,8.500188000000001,1469.77608,618870219.96
2015-07-17,-368747.2594944,,-228069.3970944,16.800254400000007,22.278076,10.833540000000003,1469.7212160000001,613773480.6
2015-07-18,-872740.9926144001,,-736466.9589503999,16.578030400000003,25.389212000000008,9.833532000000005,1469.6602560000001,608143877.88
2015-07-19,280621.753344,,417874.415616,17.200257600000008,27.389228000000003,6.389060000000004,1469.6114880000002,603644142.84
2015-07-20,272645.9301888,,408210.45811199996,19.544720800000007,30.000360000000008,8.166852000000006,1469.56272,599159209.5600001
2015-07-21,-1400197.3466112,,-1262944.6843392001,20.483617200000005,29.111464000000005,10.111312000000005,1469.4834720000001,593027580.48
2015-07-22,1946957.1499007999,,2083475.8407168,18.366933600000003,25.722548000000003,12.889112000000004,1469.4651840000001,590242382.64
2015-07-23,-292316.3652096,,-153840.4171776,17.4058148,25.444768000000003,10.611316000000006,1469.41032,585244321.6800001
2015-07-24,-285465.9649536,,-148702.6169856,18.2391548,27.555896000000004,8.055740000000004,1469.3554560000002,580275864.24
2015-07-25,269098.4014848,,406351.0637568,18.2335992,26.333664000000006,7.777960000000004,1469.3066880000001,575862472.8
2015-07-26,-9468.2317824,,127784.4304896,17.216924400000003,23.611420000000003,8.277964000000004,1469.2548720000002,571194984.48
2015-07-27,-17884.437811199998,,119368.22446079999,12.850222800000004,17.722484,8.500188000000001,1469.203056,566543531.4
2015-07-28,8538.534604800001,,145057.2254208,12.883556400000003,22.111408000000004,2.3890279999999997,1469.1512400000001,561893311.8
2015-07-29,-226063.20844800002,,-89299.86048,15.983581200000003,26.555888000000003,4.222376000000004,1469.096376,557008731.0
2015-07-30,61090.89085439999,,196875.6102144,18.67804720000001,30.611476000000003,6.055724000000001,1469.04456,552410317.5600001
2015-07-31,90987.99482879999,,227506.6856448,20.7836196,32.611492000000005,8.277964000000004,1468.992744,547818071.52
2015-08-01,-159712.1888256,,-25150.755225599998,22.433632800000005,34.222616,10.055756000000006,1468.9378800000002,542997631.6800001
2015-08-02,96321.5207424,,232840.2115584,23.61697560000001,34.722620000000006,10.111312000000005,1468.8860640000003,538459658.76
2015-08-03,-157754.9316096,,-18789.6692736,21.2169564,26.667,15.055796000000008,1468.8312,533670055.92
2015-08-04,-163700.1004032,,-21064.9807872,20.233615200000003,28.778128000000002,10.722428,1468.776336,528902655.72
2015-08-05,204998.2276608,,345676.09006079996,17.722484,24.666984000000006,12.722444000000003,1468.727568,524697722.40000004
2015-08-06,97055.4921984,,237733.3545984,15.9224696,25.055876000000005,6.1668360000000035,1468.6818480000002,520751819.88
2015-08-07,-175639.3694208,,-36918.7642368,16.261361200000003,25.666992000000008,4.722380000000005,1468.6330800000003,516580190.52
2015-08-08,-148213.3026816,,-7535.4402816,18.3947116,25.222544000000006,13.333560000000006,1468.584312,512413495.08
2015-08-09,-55806.2963712,,84382.25172480001,18.928049200000004,28.889240000000008,8.500188000000001,1468.535544,508265301.84000003
2015-08-10,326935.3522176,,467368.5574656,19.728055600000005,29.055908000000002,9.000192000000006,1468.4928720000003,504573496.2
2015-08-11,-330287.1552,,-191321.892864,21.739182800000002,33.27816400000001,10.333536000000006,1468.4410560000001,500223012.24
