date,total avg discharge (m3/d),inflow(m3/d),wse(m),avg air temperature (C),max air temperature (C),min air temperature (C),storage(m3),canal discharge (m3/d),outflow(m3/d)
2018-07-18,454010.2769664,98768.0922624,673.04412,24.60031680000001,32.7170484,15.389132000000004,22622023.2,275948.80174080003,178061.4752256
2018-07-19,458022.65425920003,104028.2210304,672.8612400000001,23.978089600000004,33.22816360000001,14.916906000000004,22268014.44,280010.110464,178012.5437952
2018-07-20,458144.9828352,100456.2266112,672.6753120000001,21.111400000000003,30.011471200000003,12.616887600000005,21910305.240000002,280132.43903999997,178012.5437952
2018-07-21,457900.3256832,121154.2216704,672.4985280000001,21.383624400000002,29.922581600000008,12.583554000000003,21573565.2,279887.781888,178012.5437952
2018-07-22,457508.87424,123233.80746239999,672.3217440000001,23.544752800000005,33.3448312,13.505783600000004,21239292.12,279496.33044479997,178012.5437952
2018-07-23,446988.616704,123820.9846272,672.148008,26.405886800000005,34.51150720000001,17.528038000000002,20916120.36,269318.5929216,177670.0237824
2018-07-24,452053.01975040004,126414.3504384,671.9712240000001,27.38367240000001,35.950407600000005,19.23360720000001,20590481.64,276829.56748800003,175223.4522624
2018-07-25,455331.42558720004,114890.9985792,671.785296,27.211448800000007,35.2559576,19.60583240000001,20250041.16,280181.37047039997,175150.0551168
2018-07-26,454328.331264,113887.904256,671.5963200000001,27.005891600000005,35.828184400000005,19.0724948,19909600.68,279178.27614719997,175150.0551168
2018-07-27,453692.2226688,110780.7584256,671.404296,26.11144,34.872621200000005,17.678039200000008,19566693.240000002,278542.16755199997,175150.0551168
2018-07-28,452248.745472,106866.2439936,671.2092240000001,24.789207200000007,33.917058000000004,16.228027600000004,19221318.84,277098.69035520003,175150.0551168
2018-07-29,451710.4997376,118658.71872,671.0172,25.555880000000002,34.2281716,17.539149200000004,18888279.240000002,276560.44462080003,175150.0551168
2018-07-30,447380.06814720004,116799.3243648,670.825176,25.289211200000004,32.82816040000001,17.744706400000005,18557706.6,276462.58176,170917.48638719998
2018-07-31,445496.2080768,113667.7128192,670.6301040000001,24.772540400000004,31.528150000000004,17.144701600000005,18225900.48,282432.21626879997,163063.99180800002
2018-08-01,444248.45660160005,114915.4642944,670.431984,23.61697560000001,31.76148520000001,15.083574000000006,17896561.32,283190.65344,161057.8031616
2018-08-02,435171.6762624,105838.68395519999,670.230816,22.689190400000008,30.65592080000001,15.278020000000005,17567222.16,283288.5163008,151883.1599616
2018-08-03,426315.08736,111783.8527488,670.0357440000001,20.600284800000004,28.578126400000002,12.294662800000005,17252684.76,281551.45052159997,144763.6368384
2018-08-04,426119.36163839995,118976.7730176,669.8437200000001,20.833620000000003,28.6503492,13.183558800000004,16945548.240000002,281355.72479999997,144763.6368384
2018-08-05,426119.36163839995,110340.375552,669.6456000000001,21.82807240000001,29.467022400000012,14.244678400000005,16629777.36,281355.72479999997,144763.6368384
2018-08-06,425605.5816192,127099.39046400001,669.453576,22.550300400000005,29.872581200000006,15.578022400000002,16331275.200000001,280841.9447808,144763.6368384
2018-08-07,424382.2958592,130818.1791744,669.2646000000001,23.983645200000005,32.0614876,16.333584000000002,16037706.96,279618.6590208,144763.6368384
2018-08-08,423672.79011839995,133802.9964288,669.0756240000001,25.91143840000001,34.7337312,18.144709600000006,15747839.16,278909.15327999997,144763.6368384
2018-08-09,421862.3271936,133215.819264,668.8836,26.47255400000001,34.722620000000006,19.211384800000005,15459204.84,278786.824704,143075.50248959998
2018-08-10,422645.23008,116725.9272192,668.679384,26.416998000000007,34.86151,18.811381600000004,15153301.8,280523.89048319997,142121.3395968
2018-08-11,423428.13296639995,117508.8301056,668.47212,20.91695400000001,27.067003200000002,14.311345600000003,14847398.76,281306.7933696,142121.3395968
2018-08-12,423207.94152959995,130867.11060480001,668.270952,20.905842800000002,29.428133200000005,12.572442800000005,14555064.0,281086.6019328,142121.3395968
2018-08-13,400430.3606784,115502.64145920001,668.0728320000001,22.555856,31.294814800000005,14.400235200000004,14270130.120000001,268339.96431360004,132090.3963648
2018-08-14,380148.2827776,102609.20954879999,667.87776,24.3447592,32.572602800000006,16.4891408,13992597.120000001,256890.0096,123258.2731776
2018-08-15,373689.3339648,104786.65820159999,667.6857360000001,24.139202000000004,31.600372800000002,17.80026240000001,13723698.48,250651.252224,123038.0817408
2018-08-16,366471.9479808,100040.3094528,667.4937120000001,23.84475520000001,31.100368800000005,17.500260000000004,13457266.8,244632.68628479997,121839.26169599999
2018-08-17,372221.39105279994,107037.504,667.295592,21.889184000000007,29.5670232,14.205789200000005,13192068.6,243531.7291008,128689.661952
2018-08-18,385408.4115456,106646.0525568,667.08528,22.2947428,32.005931600000004,12.789111200000004,12913302.120000001,251091.6350976,134316.776448
2018-08-19,391182.3203328,107477.8868736,666.868872,22.350298800000004,30.744810400000006,14.094677200000003,12629601.72,256865.5438848,134316.776448
2018-08-20,394069.2747264,106646.0525568,666.6463679999999,22.528078,31.817041200000006,13.139114000000003,12342200.88,254785.9580928,139283.31663359998
2018-08-21,402901.3979136,108113.9954688,666.4147200000001,22.522522400000007,30.10036080000001,15.866913600000004,12047399.16,252804.2351616,150097.162752
2018-08-22,406938.2409216,76381.9628544,666.152592,23.3280844,31.00592360000001,16.222472000000003,11716826.52,261709.7554944,145228.4854272
2018-08-23,412247.30112,102633.675264,665.902656,21.966962400000007,28.950351600000005,15.439132400000005,11407223.040000001,270125.9615232,142121.3395968
2018-08-24,407036.1037824,98670.2294016,665.649672,17.355814400000007,23.878088800000008,10.327980400000005,11098853.040000001,269122.8672,137913.2365824
2018-08-25,395145.7661952,111465.79845120001,665.4119280000001,17.872485200000007,26.644777600000005,9.916866000000006,10815152.64,261929.94693120001,133215.819264
2018-08-26,383255.428608,105740.8210944,665.1772320000001,17.722484,24.583650000000006,10.455759200000003,10537619.64,254027.5209216,129227.9076864
2018-08-27,369995.01096959994,118365.1301376,664.9608240000001,19.094717200000005,25.9058828,12.516886800000005,10285989.72,250406.595072,119588.4158976
2018-08-28,361725.599232,115037.79287040001,664.747464,22.594745200000006,31.589261600000007,12.461330800000002,10039293.72,247813.2292608,113912.36997120001
2018-08-29,357493.0305024,107110.9011456,664.52496,22.116963600000005,30.189250400000006,14.222456000000008,9788897.28,245366.6577408,112126.3727616
2018-08-30,356734.5933312,87831.91756799999,664.2811200000001,20.078058400000003,26.9392244,13.822452800000004,9519998.64,244657.152,112077.44133120001
2018-08-31,347535.484416,87269.2061184,664.040328,18.550268400000007,25.383656400000007,11.566879200000002,9259734.36,235458.04308479998,112077.44133120001
2018-09-01,340929.74131199997,94241.93495040001,663.80868,18.861382000000006,27.967010400000007,10.322424800000004,9013038.36,229219.2857088,111710.4556032
2018-09-02,338311.9097856,91624.103424,663.573984,20.166948000000005,30.294806800000003,10.9002072,8766342.36,228607.6428288,109704.26695680001
2018-09-03,336256.7897088,87097.946112,663.333192,20.678063200000004,29.461466800000004,12.077994400000005,8517179.4,226552.522752,109704.26695680001
2018-09-04,335229.22967040003,99624.3922944,663.1015440000001,20.4558392,29.533689600000002,12.377996800000005,8281584.72,225524.96271360002,109704.26695680001
2018-09-05,349615.070208,74547.0342144,662.8272240000001,22.211408800000008,32.04482080000001,13.661340400000007,8006518.68,241892.5261824,107722.5440256
2018-09-06,352746.6817536,56711.5278336,662.525472,21.65584880000001,29.867025600000005,14.883572400000006,7710483.48,245366.6577408,107380.0240128
2018-09-07,350055.4530816,60185.659392,662.2237200000001,20.7836196,29.022574400000003,13.528006000000005,7420615.68,244657.152,105398.30108159999
2018-09-08,348220.5244416,55879.6935168,661.9128240000001,17.755817600000007,24.9947644,10.800206400000004,7128280.92,243164.7433728,105055.78106879999
2018-09-09,346385.5958016,62681.1623424,661.604976,17.9613748,26.522554400000004,10.144645600000004,6844580.5200000005,241574.47188479998,104811.1239168
2018-09-10,353529.58464,62436.5051904,661.2788400000001,16.944700000000005,23.750310000000006,10.750206000000006,6553479.24,250773.5808,102756.00384
2018-09-11,355780.43043839996,73299.2827392,660.949656,14.539125200000008,19.98916880000001,9.989088800000001,6271012.32,253048.89231360002,102731.5381248
2018-09-12,347633.3472768,58986.839347199995,660.60828,14.266900800000002,19.783611600000008,9.9668664,5982378.0,241231.95187199998,106401.3954048
2018-09-13,342153.02707199997,75721.388544,660.285192,14.855794400000008,20.9391764,9.433528800000001,5715946.32,234626.208768,107526.818304
2018-09-14,341370.12418559997,77385.0571776,659.956008,14.094677200000003,21.266956800000003,7.3390676000000035,5451981.6,234014.565888,107355.5582976
