date,total avg discharge (m3/d),wse(m),storage(m3)
1993-12-29,565133.5554048,936.7784160000001,5905926.909600001
1993-12-30,550356.263424,936.3852240000001,5398695.264
1993-12-31,533010.0713472001,935.9859360000002,4907572.8672
1994-01-01,515663.87927040004,935.589696,4444709.4972
1994-01-02,495846.64995839994,935.1995519999999,4017333.3468
1994-01-03,481142.7551232,934.794168,3602662.0404000003
1994-01-04,461496.7858176,934.422312,3247518.4788
1994-01-05,444272.9223168,934.0931280000001,3147137.8764
1994-01-06,419758.27568639995,933.645072,2580612.8471999997
1994-01-07,398057.186304,933.2244480000002,2257428.7524
1994-01-08,372906.43107839994,932.812968,1965858.75
1994-01-09,343474.17569279997,932.407584,1701178.6116000002
1994-01-10,314237.6460288,932.0265840000001,1460316.972
1994-01-11,286958.3735808,931.68216,1250625.372
1994-01-12,259850.3611392,931.374312,1069895.8824
1994-01-13,234870.86592,931.078656,901550.532
1994-01-14,207958.5792,930.831768,766990.1987999999
1994-01-15,183492.864,930.6123120000001,648514.4448
1994-01-16,161473.72032,930.444672,559247.4972
1994-01-17,141901.14816,930.304464,489790.2384
1994-01-18,127221.71904,930.1825440000001,427437.8244
1994-01-19,112542.28992,930.0789120000001,375212.2812
1994-01-20,78290.28864,930.033192,354267.79079999996
1994-01-21,61164.288,930.0362400000001,355624.6188
1994-01-22,88076.57472,929.969184,326884.53479999996
1994-01-23,80736.86016,929.920416,302301.2784
1994-01-24,75843.71712,929.89908,290028.1524
1994-01-25,73397.1456,929.8838400000001,281541.81
1994-01-26,68504.00256,929.8442160000001,260634.32400000002
1994-01-27,66057.43104,929.816784,247103.04840000003
1994-01-28,61164.288,929.798496,238456.3536
1994-01-29,58717.71648,929.758872,220731.24599999998
1994-01-30,56271.14496,929.743632,214304.8152
1994-01-31,53824.57344,929.704008,198392.92320000002
1994-02-01,48931.4304,929.6765760000001,188093.3652
1994-02-02,46484.85888,929.652192,179360.3268
1994-02-03,44038.28736,929.6400000000001,175154.16
1994-02-04,46484.85888,929.633904,170207.9052
1994-02-05,44038.28736,929.6095200000001,151804.3836
1994-02-06,41591.71584,929.615616,156207.90720000002
1994-02-07,46484.85888,929.6278080000001,165409.668
1994-02-08,41591.71584,929.5912320000001,139358.5704
1994-02-09,41591.71584,929.59428,141369.1428
1994-02-10,44038.28736,929.6095200000001,151804.3836
1994-02-11,44038.28736,929.600376,145476.6312
1994-02-12,41591.71584,929.5881840000001,137385.0024
1994-02-13,41591.71584,929.5881840000001,137385.0024
1994-02-14,44038.28736,929.5912320000001,139358.5704
1994-02-15,41591.71584,929.5912320000001,139358.5704
1994-02-16,41591.71584,929.5881840000001,137385.0024
1994-02-17,44038.28736,929.6491440000001,178299.534
1994-02-18,44038.28736,929.673528,186983.23320000002
1994-02-19,46484.85888,929.6765760000001,188093.3652
1994-02-20,46484.85888,929.67048,185873.1012
1994-02-21,44038.28736,929.673528,186983.23320000002
1994-02-22,44038.28736,929.6674320000001,184775.304
1994-02-23,44038.28736,929.6491440000001,178299.534
1994-02-24,44038.28736,929.6582880000001,181506.58200000002
1994-02-25,44038.28736,929.6857200000001,191448.4308
1994-02-26,48931.4304,929.707056,199564.7292
1994-02-27,53824.57344,929.7558240000001,219423.7572
1994-02-28,58717.71648,929.7924,235631.6844
1994-03-01,63610.85952,929.82288,250051.0656
1994-03-02,68504.00256,929.8564080000001,266888.0676
1994-03-03,73397.1456,929.9265120000001,305903.04
1994-03-04,83183.43168,930.0027120000001,340933.872
1994-03-05,92969.71776,930.0545280000001,363901.2696
1994-03-06,68504.00256,930.1063440000001,388385.84760000004
1994-03-07,92235.746304,930.1185360000001,394392.8952
1994-03-08,104713.26105599999,930.0789120000001,375212.2812
1994-03-09,99917.98087680001,930.045384,359744.442
1994-03-10,95098.2349824,930.033192,354267.79079999996
1994-03-11,90523.14624,929.9844240000001,333175.28280000004
1994-03-12,88076.57472,929.9508960000001,319446.65040000004
1994-03-13,80736.86016,929.92956,307728.5904
1994-03-14,74865.088512,929.9082240000001,295196.4336
1994-03-15,73641.802752,929.89908,290028.1524
1994-03-16,71684.545536,929.89908,290028.1524
1994-03-17,73886.459904,929.8960320000001,288313.6152
1994-03-18,75843.71712,929.8960320000001,288313.6152
1994-03-19,75843.71712,929.8838400000001,281541.81
1994-03-20,75843.71712,929.859456,268479.2568
1994-03-21,78290.28864,929.859456,268479.2568
1994-03-22,75843.71712,929.847264,262176.174
1994-03-23,73397.1456,929.832024,254516.26320000002
1994-03-24,70950.57408,929.798496,238456.3536
1994-03-25,68504.00256,929.780208,230105.69400000002
