date,inflow(m3/d),wse(m),avg air temperature (C),max air temperature (C),min air temperature (C),storage(m3),canal discharge (m3/d),outflow(m3/d)
2003-01-21,62803.490918400006,758.3515440000001,0.027898000000000422,0.7223480000000002,-0.6665519999999958,10959050.4168,73397.1456,0.0
2003-01-22,61800.3965952,758.4155519999999,0.20567720000000023,1.166796000000005,-0.499883999999998,11094252.1596,73397.1456,0.0
2003-01-23,54778.7363328,758.4765120000001,3.1723676000000047,10.166868000000001,0.16678800000000038,11222423.0664,73397.1456,0.0
2003-01-24,54778.7363328,758.537472,2.239026800000005,4.277932000000003,-0.05543599999999671,11350606.308,73397.1456,0.0
2003-01-25,61800.3965952,758.60148,4.2445984000000045,6.222392000000006,2.500140000000002,11485808.0508,73397.1456,0.0
2003-01-26,63366.202368,758.665488,5.633498400000004,7.500180000000004,4.222376000000004,11622563.9784,73397.1456,0.0
2003-01-27,73641.802752,758.7325440000001,5.572386800000004,9.055748000000001,1.555688,11769607.129200002,73397.1456,0.0
2003-01-28,208447.893504,758.8666559999999,2.427917200000003,7.500180000000004,-1.0554439999999978,12063693.430799998,85630.00319999999,0.0
2003-01-29,212362.407936,759.000768,3.411258400000005,6.000168000000002,1.3334640000000029,12361677.5292,85630.00319999999,0.0
2003-01-30,190783.6471296,759.122688,5.822388800000002,9.389084000000004,3.1668120000000037,12638088.062399998,85630.00319999999,0.0
2003-01-31,219188.3424768,759.2568,7.827960400000006,12.166884000000003,5.222384000000002,12942905.64,85630.00319999999,0.0
2003-02-01,266529.5013888,759.397008,5.844611200000006,8.111296000000003,3.3890360000000044,13270604.2716,61164.288,0.0
2003-02-02,231421.2000768,759.521976,5.166828000000002,8.944636000000003,2.1668040000000026,13563198.062399998,61164.288,0.0
2003-02-03,206588.49914879998,759.6347519999999,4.1279308000000015,8.389076000000003,1.166796000000005,13830961.900799999,61164.288,0.0
2003-02-04,182758.892544,759.741432,2.6834748000000026,7.111288000000002,0.777904000000003,14087118.6924,73397.1456,0.0
2003-02-05,182783.35825919997,759.848112,0.4556792000000023,4.611268000000003,-4.111023999999997,14343287.8188,73397.1456,0.0
2003-02-06,158219.7801984,759.9426000000001,1.1279068000000017,5.111272000000003,-2.7221239999999973,14574898.3584,73397.1456,0.0
2003-02-07,122450.90457599999,760.0218480000001,-1.538781199999999,4.111264000000002,-7.888831999999997,14770737.978,73397.1456,0.0
2003-02-08,124212.4360704,760.091952,-1.0998887999999987,6.389060000000004,-7.055491999999997,14943893.9004,48931.4304,0.0
2003-02-09,124236.9017856,760.162056,0.6334584000000021,8.000184,-4.777695999999999,15117062.1576,48931.4304,0.0
2003-02-10,105765.28680959999,760.223016,2.5556960000000046,11.389100000000003,-4.999919999999998,15271765.219200002,48931.4304,0.0
2003-02-11,100456.2266112,760.2870240000001,1.7779120000000042,8.555744000000004,-4.555471999999998,15433388.1036,61164.288,0.0
2003-02-12,85654.46891519999,760.3449360000001,1.7445784000000017,9.777976000000006,-4.388803999999997,15580209.228,61164.288,0.0
2003-02-13,77213.7971712,760.3998,3.133478400000005,4.666824000000002,0.9445720000000044,15718593.349200001,61164.288,0.0
2003-02-14,94266.4006656,760.4516160000001,6.272392400000001,13.500228000000003,2.500140000000002,15849564.2556,36698.5728,0.0
2003-02-15,104933.4524928,760.50648,5.850166800000004,10.166868000000001,2.5556960000000046,15991204.763999999,36698.5728,0.0
2003-02-16,93410.1006336,760.5613440000001,7.411290400000006,10.611316000000006,3.1668120000000037,16133536.021200001,48931.4304,0.0
2003-02-17,98034.1208064,760.61316,6.3112816000000045,10.666872000000005,1.7779120000000042,16268256.7068,36698.5728,0.0
2003-02-18,73568.4056064,760.664976,3.5168148000000024,9.277972000000005,0.055676000000001835,16402977.392399998,61164.288,0.0
2003-02-19,49665.401856000004,760.7076480000001,1.7279116000000023,6.055724000000001,-2.7221239999999973,16513805.5704,61164.288,0.0
2003-02-20,62412.0394752,760.759464,5.577942400000001,10.111312000000005,1.0001280000000001,16649611.7184,73397.1456,0.0
2003-02-21,79171.0543872,760.817376,8.533521600000004,13.611340000000006,5.000160000000005,16802180.8596,73397.1456,0.0
2003-02-22,49420.744704,760.863096,6.111280000000004,8.833524000000004,2.3890279999999997,16925010.798,73397.1456,0.0
2003-02-23,32686.1955072,760.90272,2.7779200000000017,7.166844000000001,-1.7221159999999998,17031102.4128,73397.1456,0.0
2003-02-24,-82327.131648,760.899672,-1.805449999999997,3.833484000000002,-5.8332599999999974,17022172.0176,73397.1456,0.0
2003-02-25,57249.773568,760.9484400000001,-1.2276675999999966,8.277964000000004,-7.888831999999997,17152822.2192,73397.1456,0.0
2003-02-26,65078.802432000004,761.0002559999999,-0.48321719999999857,6.389060000000004,-7.333271999999997,17291305.018799998,73397.1456,0.0
2003-02-27,8122.6174464,761.030736,1.8556904000000038,7.333512000000006,-4.111023999999997,17372825.712,73397.1456,0.0
2003-02-28,8122.6174464,761.0612160000001,1.0056836000000047,5.666832000000003,-5.4999239999999965,17454346.4052,73397.1456,0.0
2003-03-01,-53335.259136,761.064264,2.9112544000000042,9.722420000000003,-4.999919999999998,17462166.6684,61164.288,0.0
2003-03-02,79415.7115392,761.11608,3.4445920000000037,12.833556000000005,-4.777695999999999,17602746.384,61164.288,0.0
2003-03-03,-69189.04258560001,761.1130320000001,5.322384800000002,10.944652000000005,-0.888776,17594728.764,61164.288,0.0
2003-03-04,101875.2380928,761.1770400000001,2.9112544000000042,7.666848000000002,-1.0554439999999978,17770006.272,73397.1456,0.0
2003-03-05,18251.4235392,761.210568,7.383512400000004,12.778000000000002,1.0001280000000001,17861653.836000003,73397.1456,0.0
2003-03-06,26692.0952832,761.238,8.855746400000001,12.778000000000002,5.666832000000003,17937266.16,48931.4304,0.0
2003-03-07,-66106.3624704,761.2319040000001,9.394639600000001,14.555792000000004,4.8890480000000025,17920083.7836,48931.4304,0.0
2003-03-08,93116.5120512,761.28372,9.911310400000005,14.333568,4.833492000000003,18062143.6752,48931.4304,0.0
2003-03-09,22459.5265536,761.3142,7.616847600000003,13.222448000000004,1.7779120000000042,18145773.619200002,61164.288,0.0
2003-03-10,-51989.6448,761.3172480000001,10.511315200000006,17.889152000000003,4.222376000000004,18154938.3756,61164.288,0.0
2003-03-11,46509.3245952,761.356872,11.800214400000005,18.444712000000003,5.166828000000002,18262621.1796,61164.288,0.0
2003-03-12,57788.019302400004,761.408688,14.700237600000001,20.778064000000008,9.555752000000005,18406050.234,85630.00319999999,0.0
2003-03-13,-16147.372032,761.433072,14.778016000000008,21.611404000000007,6.389060000000004,18475532.1624,85630.00319999999,0.0
2003-03-14,-43230.9187584,761.4483120000001,14.483569200000005,19.27805200000001,9.333528000000001,18517926.87,85630.00319999999,0.0
2003-03-15,18006.7663872,761.4848880000001,9.872421200000005,14.611348,5.389052000000003,18621563.8596,85630.00319999999,0.0
2003-03-16,-13333.814784,761.5062240000001,7.372401200000006,13.000224000000003,2.222360000000002,18681622.0008,73397.1456,0.0
2003-03-17,7143.9888384,761.530608,7.172399600000002,13.833564000000003,0.11123200000000466,18749919.7884,61164.288,0.0
2003-03-18,-27010.149580799996,761.5428,8.466854400000006,14.278012000000004,4.722380000000005,18784074.849600002,61164.288,0.0
2003-03-19,11131.900415999999,761.5641360000001,7.994628400000003,15.333576000000008,0.33345600000000175,18844132.9908,48931.4304,0.0
2003-03-20,37041.0928128,761.5946160000001,10.266868800000001,15.611356000000008,5.7779440000000015,18930106.5468,48931.4304,0.0
2003-03-21,45286.0388352,761.6281440000001,9.111304000000004,14.222456000000008,3.833484000000002,19024319.7492,48931.4304,0.0
2003-03-22,37041.0928128,761.658624,9.677975200000006,15.166908,7.055732000000006,19110280.970399998,48931.4304,0.0
2003-03-23,-20135.2836096,761.686056,7.161288400000004,11.777992000000005,1.3890200000000021,19188014.88,97862.8608,0.0
2003-03-24,-26276.1781248,761.719584,6.061279600000002,14.111344000000003,-1.110999999999997,19284078.3024,122328.576,0.0
2003-03-25,1076.4914688,761.762256,5.7946108000000045,8.222408000000001,2.889032000000004,19407475.6416,122328.576,0.0
2003-03-26,1076.4914688,761.8049280000001,6.872397200000002,11.166876000000006,3.0001440000000024,19530872.9808,122328.576,0.0
2003-03-27,-42496.9473024,761.83236,5.4001632000000015,9.611308000000001,1.1112400000000022,19610716.141200002,122328.576,0.0
2003-03-28,15853.783449600001,761.871984,5.989056800000004,12.111328000000004,-1.4998919999999956,19724430.6624,97862.8608,0.0
2003-03-29,103783.5638784,761.95428,7.405734800000001,15.278020000000005,0.16678800000000038,19962763.668,134561.4336,0.0
2003-03-30,156996.4944384,762.0579120000001,10.116867600000003,18.111376,2.1668040000000026,20266545.1224,146794.2912,0.0
2003-03-31,57421.0335744,762.131064,12.133550400000004,19.222496,5.222384000000002,20482996.1928,159027.1488,0.0
2003-04-01,75574.5942528,762.19812,9.266860800000003,13.055780000000002,6.277948000000002,20680895.724,122328.576,0.0
2003-04-02,51940.7133696,762.252984,5.911278400000004,9.722420000000003,1.0001280000000001,20842925.6568,110095.7184,0.0
2003-04-03,43279.8501888,762.3048,4.3834884000000045,8.222408000000001,0.7223480000000002,20996296.56,110095.7184,0.0
2003-04-04,77507.3857536,762.3627120000001,3.7112608000000016,8.722412000000006,0.777904000000003,21171660.411599997,97862.8608,0.0
2003-04-05,50815.290470399996,762.41148,5.1501612000000065,9.000192000000006,0.6112360000000017,21320344.0908,97862.8608,0.0
2003-04-06,68601.8654208,762.466344,4.011263200000002,9.166860000000003,0.2779000000000025,21486802.2168,97862.8608,0.0
2003-04-07,68601.8654208,762.521208,5.7779440000000015,12.833556000000005,-1.999895999999998,21653272.6776,97862.8608,0.0
2003-04-08,68601.8654208,762.576072,11.7557696,19.778056,4.0001520000000035,21819743.138400003,97862.8608,0.0
